cur_topo missing1 missing2 missing3 missing4 missing5 missing6 missing7 missing8
123 0.092726 0.237994 0.088252 0.099045 0.095924 0.356082 0.063286 0.055992
123 0.081510 0.237136 0.086722 0.106103 0.097878 0.354132 0.066369 0.057261
123 0.083626 0.230333 0.092380 0.099791 0.087475 0.355502 0.075040 0.056484
124 0.171472 0.239444 0.095398 0.176332 0.126434 0.195362 0.057422 0.055254
124 0.169045 0.253636 0.072338 0.173008 0.121244 0.191637 0.053427 0.066211
124 0.171629 0.245643 0.078608 0.176958 0.128126 0.196805 0.062211 0.042673
125 0.167488 0.255124 0.087695 0.180323 0.123909 0.199702 0.049634 0.057385
125 0.169422 0.254498 0.085500 0.178709 0.118117 0.209259 0.067057 0.047582
125 0.173658 0.244842 0.082662 0.179251 0.120609 0.209543 0.052530 0.052587
126 0.158222 0.081624 0.072726 0.139920 0.109888 0.385324 0.062461 0.153535
126 0.146077 0.079924 0.060103 0.143194 0.106415 0.362060 0.075361 0.157066
126 0.156519 0.083037 0.062669 0.144365 0.112187 0.371123 0.053230 0.157337
127 0.151407 0.091003 0.059437 0.136548 0.112743 0.377393 0.062917 0.150688
127 0.143861 0.069402 0.069364 0.143413 0.099124 0.353254 0.061180 0.145314
127 0.148174 0.078679 0.069535 0.127758 0.096465 0.376424 0.061562 0.144788
128 0.147641 0.125619 0.033171 0.105377 0.106597 0.051736 0.220637 0.114314
128 0.136053 0.120608 0.037178 0.090519 0.092684 0.045983 0.216671 0.110640
128 0.139652 0.132495 0.028443 0.083772 0.099123 0.046950 0.216464 0.107512
134 0.067766 0.195353 0.073790 0.091540 0.075365 0.336205 0.035126 0.033625
134 0.084048 0.199389 0.076077 0.073153 0.072025 0.335911 0.042985 0.036785
134 0.075706 0.210980 0.083271 0.078532 0.075387 0.335234 0.031077 0.040805
135 0.063676 0.202041 0.071102 0.081289 0.079549 0.330038 0.030659 0.031129
135 0.061354 0.197884 0.080249 0.081262 0.062984 0.344050 0.041194 0.032594
135 0.077540 0.213647 0.091251 0.082019 0.075035 0.340137 0.035542 0.043282
136 0.119179 0.349597 0.201943 0.225887 0.103092 0.482252 0.016556 0.234503
136 0.112053 0.347922 0.198718 0.231363 0.085967 0.467477 0.017034 0.235770
136 0.124349 0.347491 0.191157 0.234286 0.098925 0.474506 0.018110 0.236920
137 0.121840 0.355681 0.201349 0.232051 0.102568 0.470227 0.013820 0.229626
137 0.119754 0.355090 0.196159 0.227805 0.095816 0.486088 0.011996 0.239806
137 0.117184 0.340642 0.200657 0.238368 0.093006 0.476109 0.021487 0.237851
138 0.094600 0.223359 0.149326 0.136506 0.086511 0.091869 0.147089 0.193234
138 0.074643 0.239838 0.156300 0.128733 0.068513 0.104738 0.133400 0.203749
138 0.086144 0.235333 0.150958 0.130136 0.077006 0.104551 0.145808 0.202885
145 0.152074 0.224480 0.131584 0.295041 0.086679 0.290373 0.111739 0.131417
145 0.167440 0.209436 0.140298 0.304408 0.082459 0.279347 0.090437 0.125045
145 0.146280 0.226187 0.130441 0.283997 0.074070 0.276011 0.092964 0.124261
146 0.368350 0.084025 0.213083 0.070430 0.337360 0.267297 0.124410 0.159827
146 0.361666 0.086296 0.217796 0.086089 0.344312 0.267742 0.133593 0.155722
146 0.365671 0.086596 0.218257 0.078717 0.339072 0.271362 0.132510 0.158025
147 0.366629 0.080286 0.214465 0.081102 0.338484 0.268803 0.124774 0.154877
147 0.370810 0.085940 0.221957 0.081693 0.342204 0.277029 0.127048 0.157016
147 0.361587 0.083367 0.215456 0.078524 0.338807 0.276916 0.125948 0.161132
148 0.163719 0.095275 0.062425 0.113291 0.159046 0.032178 0.296486 0.030910
148 0.172834 0.087459 0.062537 0.111212 0.157847 0.033334 0.290341 0.031743
148 0.176917 0.088031 0.066330 0.099168 0.163589 0.050695 0.291924 0.025137
156 0.364254 0.073800 0.204601 0.067724 0.341567 0.274408 0.113193 0.160310
156 0.373787 0.080913 0.226282 0.076129 0.342284 0.274557 0.130478 0.162785
156 0.357066 0.078896 0.216871 0.075660 0.351231 0.272882 0.124051 0.163948
157 0.358067 0.080025 0.210689 0.075861 0.346028 0.277329 0.117971 0.158967
