cur_topo missing1 missing2 missing3 missing4 missing5 missing6 missing7 missing8 missing9 missing10
123 0.134050 0.247528 0.080013 0.042382 0.025393 0.178862 0.319133 0.206706 0.125099 0.319133
124 0.173446 0.210073 0.090492 0.053824 0.047951 0.199379 0.322504 0.198219 0.193802 0.322504
125 0.178842 0.195877 0.095041 0.060076 0.043639 0.189607 0.325086 0.201224 0.193437 0.325086
126 0.141954 0.125499 0.092998 0.058043 0.045950 0.150251 0.317308 0.165643 0.143350 0.317308
127 0.174008 0.162601 0.102106 0.039258 0.037567 0.085131 0.268141 0.173094 0.118348 0.268141
128 0.189054 0.196013 0.104412 0.044758 0.042010 0.125167 0.262500 0.148192 0.104500 0.262500
129 0.189937 0.140659 0.084178 0.057645 0.056836 0.148812 0.262966 0.237628 0.141093 0.262966
1210 0.210438 0.142865 0.075343 0.038488 0.049403 0.154410 0.269225 0.218409 0.162462 0.269225
134 0.130749 0.210661 0.078002 0.068458 0.052044 0.165680 0.323305 0.195037 0.197595 0.323305
135 0.151775 0.201870 0.079422 0.079136 0.054609 0.161736 0.318523 0.208763 0.190934 0.318523
136 0.123349 0.244526 0.095953 0.066618 0.043727 0.257797 0.325558 0.151922 0.162613 0.325558
137 0.096383 0.264583 0.087443 0.066573 0.026405 0.147059 0.281070 0.176634 0.129078 0.281070
138 0.136242 0.231781 0.111554 0.063977 0.036266 0.114653 0.278048 0.154895 0.132538 0.278048
139 0.135808 0.190419 0.128088 0.078886 0.051820 0.193246 0.253080 0.232800 0.152871 0.253080
1310 0.156246 0.177280 0.110078 0.046311 0.043407 0.168074 0.255611 0.198960 0.176479 0.255611
145 0.164121 0.135896 0.077439 0.080264 0.040239 0.172784 0.306759 0.203880 0.200129 0.306759
146 0.145934 0.157867 0.070190 0.047630 0.066203 0.234217 0.330020 0.156354 0.176827 0.330020
147 0.137248 0.165012 0.081238 0.036734 0.062817 0.129933 0.254561 0.189085 0.149442 0.254561
148 0.169573 0.126059 0.070520 0.039011 0.051289 0.107282 0.244557 0.152829 0.136224 0.244557
149 0.177676 0.114006 0.064856 0.031094 0.065389 0.193357 0.266838 0.242392 0.176040 0.266838
1410 0.178703 0.105740 0.047481 0.053498 0.072437 0.175745 0.269436 0.225656 0.197434 0.269436
156 0.164932 0.144158 0.078742 0.051004 0.052729 0.232825 0.333574 0.177463 0.181211 0.333574
157 0.158618 0.152408 0.082124 0.029032 0.058433 0.131212 0.261042 0.176284 0.150575 0.261042
158 0.169248 0.113198 0.070005 0.046001 0.056113 0.103156 0.247133 0.158669 0.139803 0.247133
159 0.167178 0.113615 0.049303 0.038927 0.074533 0.189499 0.261639 0.245709 0.171591 0.261639
1510 0.175589 0.092964 0.054987 0.070046 0.071008 0.168620 0.265539 0.219660 0.193121 0.265539
167 0.149082 0.143261 0.063551 0.082452 0.038983 0.139123 0.256657 0.130446 0.128315 0.256657
168 0.141931 0.160360 0.079504 0.059814 0.026901 0.156233 0.252392 0.184354 0.121205 0.252392
169 0.176668 0.099989 0.054711 0.061721 0.046662 0.196157 0.286546 0.209816 0.182524 0.286546
1610 0.150032 0.123635 0.063329 0.075200 0.066348 0.212393 0.245027 0.229513 0.152436 0.245027
178 0.126462 0.165111 0.086943 0.058888 0.032882 0.180777 0.309481 0.138678 0.173359 0.309481
179 0.158617 0.123077 0.051237 0.065543 0.044888 0.124144 0.213449 0.159428 0.105716 0.213449
1710 0.152392 0.112303 0.055868 0.065280 0.051352 0.115798 0.209790 0.140359 0.109462 0.209790
189 0.151561 0.105129 0.058232 0.075548 0.057990 0.122675 0.186521 0.158248 0.107312 0.186521
1810 0.161544 0.128764 0.065054 0.055389 0.043860 0.146913 0.196652 0.180060 0.114930 0.196652
1910 0.118253 0.163086 0.080147 0.055247 0.050144 0.196164 0.305971 0.165868 0.176186 0.305971
234 0.093088 0.273964 0.095090 0.066485 0.036500 0.216095 0.317190 0.155514 0.155189 0.317190
235 0.087723 0.272312 0.098957 0.067012 0.029944 0.202692 0.320065 0.156238 0.157134 0.320065
236 0.136583 0.208757 0.089251 0.070848 0.048640 0.177333 0.318582 0.187240 0.193704 0.318582
237 0.152330 0.211435 0.113330 0.064959 0.044395 0.096879 0.274822 0.149218 0.135039 0.274822
238 0.123483 0.239675 0.091814 0.048956 0.048288 0.151500 0.277444 0.171005 0.109678 0.277444
239 0.151848 0.208000 0.108517 0.058396 0.074252 0.164655 0.281776 0.208278 0.177778 0.281776
2310 0.169652 0.177477 0.133961 0.052547 0.069557 0.177302 0.226675 0.229820 0.192062 0.226675
245 0.148981 0.184704 0.080295 0.044128 0.057092 0.214738 0.312546 0.150890 0.183742 0.312546
246 0.168085 0.136220 0.068415 0.094501 0.025546 0.190108 0.309912 0.196343 0.208435 0.309912
247 0.149848 0.158200 0.081211 0.086776 0.038411 0.105835 0.250467 0.142943 0.133802 0.250467
248 0.143806 0.178101 0.100952 0.062349 0.018861 0.159131 0.261695 0.181325 0.126761 0.261695
249 0.164279 0.131919 0.060058 0.065693 0.041749 0.182428 0.291010 0.201635 0.180263 0.291010
2410 0.145581 0.135412 0.084495 0.086303 0.063950 0.194921 0.252354 0.250417 0.151114 0.252354
256 0.161803 0.142251 0.083146 0.100028 0.026104 0.196960 0.311999 0.205544 0.206760 0.311999
257 0.148549 0.155286 0.092873 0.087112 0.039943 0.117615 0.245182 0.153292 0.132747 0.245182
258 0.155494 0.164406 0.102938 0.067929 0.029148 0.155601 0.267556 0.176590 0.116388 0.267556
259 0.177061 0.124013 0.058540 0.081628 0.049977 0.178712 0.292749 0.205349 0.179442 0.292749
2510 0.149454 0.130461 0.073042 0.091600 0.056408 0.182362 0.255025 0.244515 0.157281 0.255025
267 0.165126 0.151372 0.107664 0.058192 0.046981 0.187935 0.271911 0.184792 0.136734 0.271911
268 0.162023 0.118182 0.065377 0.066047 0.056500 0.120252 0.242046 0.146293 0.138386 0.242046
269 0.163923 0.126521 0.069799 0.059166 0.064697 0.195912 0.260409 0.227439 0.165470 0.260409
2610 0.173140 0.090160 0.053572 0.087224 0.060471 0.208567 0.275505 0.235210 0.189329 0.275505
278 0.155363 0.127853 0.070981 0.074335 0.063938 0.154176 0.318465 0.192393 0.209425 0.318465
279 0.165454 0.114537 0.062889 0.044355 0.077854 0.119602 0.194379 0.139794 0.125503 0.194379
2710 0.148818 0.133050 0.064025 0.036147 0.074738 0.130949 0.213642 0.176527 0.114851 0.213642
289 0.167594 0.125795 0.069829 0.051871 0.082276 0.140042 0.190849 0.182589 0.125442 0.190849
2810 0.167691 0.102952 0.052947 0.048411 0.072105 0.103453 0.164298 0.158955 0.099077 0.164298
