cur_topo missing1 missing2 missing3 missing4 missing5 missing6 missing7 missing8 missing9
12 0.089888 0.065055 0.053706 0.083304 0.113495 0.244243 0.050197 0.031455 0.080181
12 0.104983 0.063389 0.066533 0.093492 0.110750 0.223716 0.046272 0.024168 0.082932
12 0.106045 0.065353 0.054527 0.092260 0.126988 0.239817 0.049016 0.029627 0.087446
13 0.100873 0.267571 0.148747 0.076750 0.046488 0.298808 0.038904 0.044212 0.149340
13 0.099986 0.269782 0.158068 0.077610 0.047579 0.305384 0.036862 0.043395 0.144306
13 0.097320 0.268861 0.150409 0.078742 0.045164 0.306165 0.040032 0.053226 0.147423
14 0.185770 0.156810 0.077407 0.112492 0.201347 0.086289 0.101897 0.097044 0.161626
14 0.184403 0.145419 0.093240 0.105157 0.201055 0.082104 0.095489 0.099994 0.172764
14 0.199580 0.144399 0.087933 0.115256 0.198106 0.072805 0.086638 0.104093 0.170341
15 0.183207 0.154265 0.084439 0.108128 0.209871 0.083819 0.087885 0.104908 0.166307
15 0.195286 0.148160 0.076359 0.109572 0.195453 0.085028 0.095783 0.094126 0.173303
15 0.188544 0.152559 0.088365 0.118547 0.213396 0.074602 0.096871 0.105494 0.165625
16 0.114959 0.218811 0.170184 0.298421 0.204040 0.275930 0.052247 0.269044 0.179212
16 0.118037 0.219016 0.182764 0.295096 0.203412 0.277637 0.061904 0.258794 0.176942
16 0.111987 0.216264 0.175005 0.304880 0.210406 0.285277 0.057368 0.276966 0.183815
17 0.210278 0.165957 0.132203 0.222677 0.116115 0.236504 0.076669 0.151512 0.072300
17 0.224507 0.161283 0.146787 0.223418 0.124526 0.236421 0.070985 0.147521 0.079099
17 0.218383 0.161999 0.143331 0.235946 0.124422 0.235864 0.066743 0.158602 0.078967
18 0.121175 0.183657 0.068488 0.136353 0.104393 0.051683 0.265352 0.050687 0.317816
18 0.119632 0.171502 0.066992 0.128683 0.119551 0.041375 0.248093 0.059531 0.320639
18 0.116175 0.176031 0.069146 0.135562 0.109689 0.040717 0.249029 0.055131 0.318945
19 0.149971 0.160296 0.136384 0.338086 0.108396 0.327036 0.125156 0.160872 0.083952
19 0.155139 0.172537 0.136896 0.341212 0.111928 0.330900 0.126732 0.159364 0.085699
19 0.150219 0.166739 0.127648 0.335673 0.108661 0.335477 0.132967 0.159938 0.081722
23 0.066580 0.179200 0.078472 0.102534 0.069788 0.366620 0.024036 0.041644 0.083515
23 0.062241 0.174007 0.079382 0.105252 0.068201 0.372198 0.031104 0.048995 0.084412
23 0.076521 0.179532 0.068922 0.108232 0.070302 0.356689 0.020460 0.048690 0.082525
24 0.162164 0.165736 0.141718 0.347012 0.101774 0.327967 0.124140 0.160199 0.082074
24 0.153485 0.176463 0.141766 0.329751 0.101873 0.323042 0.116431 0.161753 0.087360
24 0.146333 0.184004 0.132987 0.335041 0.093800 0.326050 0.124881 0.159037 0.080708
25 0.153544 0.174647 0.122329 0.337827 0.104227 0.343090 0.136046 0.157483 0.082278
25 0.150653 0.170063 0.136056 0.339736 0.106298 0.324212 0.131872 0.152679 0.080577
25 0.153676 0.166547 0.131298 0.340589 0.099192 0.328694 0.126713 0.162826 0.071506
26 0.359381 0.106442 0.135938 0.098117 0.306408 0.221429 0.092241 0.132870 0.124811
26 0.353826 0.112261 0.126607 0.091494 0.319629 0.220046 0.101067 0.146790 0.117565
26 0.360433 0.098036 0.139136 0.081754 0.305546 0.225885 0.092049 0.131751 0.136394
27 0.367444 0.097812 0.289275 0.112105 0.309372 0.313778 0.134958 0.204768 0.043446
27 0.351599 0.109650 0.271982 0.114167 0.321315 0.321510 0.122810 0.215488 0.048897
27 0.359939 0.098694 0.286766 0.104112 0.313515 0.319157 0.131011 0.197223 0.058498
28 0.226703 0.075591 0.035587 0.146761 0.138761 0.041172 0.326555 0.068214 0.233256
28 0.225218 0.074302 0.037841 0.147248 0.130618 0.034948 0.324768 0.065936 0.228165
28 0.230182 0.070880 0.042818 0.154935 0.132831 0.041798 0.332429 0.060828 0.230275
29 0.190866 0.142404 0.094595 0.114855 0.205020 0.080682 0.097355 0.099266 0.166662
29 0.196758 0.146012 0.087588 0.111014 0.201009 0.090669 0.105305 0.099801 0.165403
29 0.192631 0.154159 0.088676 0.116758 0.211222 0.072304 0.102048 0.105230 0.168269
34 0.083844 0.254047 0.086718 0.073423 0.070506 0.403943 0.063440 0.098124 0.130716
34 0.081645 0.244408 0.086814 0.065344 0.071589 0.398899 0.065543 0.084565 0.138225
34 0.098070 0.252385 0.075393 0.079467 0.084691 0.400662 0.057081 0.093513 0.116359
