cur_topo missing1 missing2 missing3 missing4 missing5 missing6 missing7 missing8 missing9
12 0.163589 0.129187 0.101627 0.035959 0.017949 0.205468 0.080574 0.091647 0.080574
13 0.105997 0.252438 0.089254 0.066981 0.011670 0.253372 0.104239 0.100732 0.104239
14 0.146156 0.167402 0.081185 0.028941 0.069879 0.159131 0.105907 0.097224 0.105907
15 0.152089 0.142720 0.075074 0.013262 0.062884 0.174080 0.114049 0.083422 0.114049
16 0.144591 0.112330 0.055293 0.072091 0.048184 0.165081 0.077616 0.022727 0.077616
17 0.166480 0.116759 0.043784 0.060822 0.038962 0.146720 0.098553 0.054561 0.098553
18 0.131393 0.155171 0.088148 0.054873 0.045316 0.141887 0.164825 0.034935 0.164825
19 0.149541 0.130183 0.079209 0.087808 0.023752 0.149237 0.117476 0.070693 0.117476
23 0.157889 0.197298 0.096334 0.053229 0.038567 0.213322 0.111964 0.079647 0.111964
24 0.151062 0.141877 0.065590 0.087179 0.018158 0.155970 0.124575 0.069661 0.124575
25 0.149281 0.143118 0.073621 0.081083 0.028779 0.153195 0.122212 0.065117 0.122212
26 0.168261 0.129015 0.044096 0.030029 0.065086 0.156216 0.091941 0.039172 0.091941
27 0.163591 0.104166 0.056386 0.034657 0.078543 0.108904 0.090319 0.023847 0.090319
28 0.169831 0.114407 0.062006 0.080022 0.063384 0.125699 0.209637 0.087574 0.209637
29 0.153532 0.165716 0.100706 0.052776 0.068373 0.164622 0.111397 0.101866 0.111397
34 0.105039 0.256178 0.045600 0.020751 0.026729 0.304318 0.090040 0.093993 0.090040
35 0.100812 0.241566 0.041175 0.022406 0.023923 0.296696 0.091541 0.101701 0.091541
36 0.145421 0.164186 0.087247 0.079210 0.038681 0.301547 0.066080 0.058372 0.066080
37 0.146196 0.204924 0.086388 0.049284 0.062347 0.280301 0.073606 0.060089 0.073606
38 0.114184 0.260467 0.027229 0.066254 0.030069 0.238739 0.152968 0.148052 0.152968
39 0.091895 0.184780 0.012556 0.086541 0.034354 0.291391 0.066159 0.098409 0.066159
45 0.156102 0.183900 0.114872 0.046537 0.059304 0.189875 0.120212 0.067118 0.120212
46 0.186579 0.109628 0.089993 0.015656 0.029997 0.223522 0.098014 0.042584 0.098014
47 0.166156 0.134502 0.077027 0.044418 0.043180 0.171323 0.088088 0.044125 0.088088
48 0.159473 0.201519 0.114102 0.061303 0.029460 0.153888 0.180602 0.122413 0.180602
49 0.151658 0.130728 0.103189 0.036541 0.035719 0.216852 0.096633 0.087911 0.096633
56 0.189486 0.111162 0.087393 0.023036 0.048774 0.208319 0.088523 0.056893 0.088523
57 0.164187 0.119346 0.078839 0.046719 0.038279 0.161844 0.083239 0.039516 0.083239
58 0.164925 0.183579 0.130595 0.072599 0.032747 0.143474 0.180982 0.121361 0.180982
59 0.151106 0.109988 0.114430 0.033893 0.033119 0.214611 0.087761 0.086175 0.087761
67 0.154954 0.119440 0.099344 0.074991 0.041989 0.244693 0.119374 0.082656 0.119374
68 0.195111 0.128168 0.076572 0.057832 0.045262 0.140551 0.182885 0.144325 0.182885
69 0.169342 0.129508 0.086399 0.053508 0.064478 0.194370 0.070138 0.024525 0.070138
78 0.172048 0.110050 0.054376 0.058217 0.054531 0.161379 0.178367 0.183568 0.178367
79 0.193415 0.120940 0.096151 0.051661 0.056708 0.161821 0.104925 0.051938 0.104925
89 0.136316 0.119920 0.097176 0.067445 0.043760 0.145740 0.156559 0.040701 0.156559
