cur_topo missing1 missing2 missing3 missing4 missing5 missing6 missing7 missing8
12 0.139908 0.116854 0.097547 0.037897 0.019720 0.273296 0.108364 0.108364
13 0.096031 0.259213 0.097917 0.046067 0.024214 0.309162 0.120734 0.120734
14 0.140546 0.179912 0.078339 0.032297 0.073281 0.226702 0.148306 0.148306
15 0.139828 0.174673 0.077417 0.038608 0.074338 0.220944 0.140813 0.140813
16 0.145701 0.099901 0.053618 0.070716 0.059767 0.187867 0.096335 0.096335
17 0.175991 0.113019 0.062626 0.051701 0.050671 0.173380 0.129371 0.129371
18 0.169051 0.145061 0.071226 0.077240 0.035843 0.199281 0.146010 0.146010
23 0.191668 0.182363 0.095052 0.073912 0.025286 0.272747 0.148463 0.148463
24 0.162818 0.131346 0.073140 0.088362 0.022413 0.209202 0.166876 0.166876
25 0.167656 0.138236 0.082634 0.097920 0.026581 0.198289 0.165649 0.165649
26 0.172360 0.113409 0.058481 0.049086 0.057354 0.180512 0.120651 0.120651
27 0.166383 0.085809 0.064356 0.046280 0.065150 0.127004 0.120835 0.120835
28 0.151512 0.178541 0.105146 0.063309 0.059664 0.235848 0.145931 0.145931
34 0.094938 0.280159 0.050218 0.034861 0.027471 0.371348 0.117820 0.117820
35 0.101123 0.262484 0.054078 0.036093 0.024103 0.365626 0.118958 0.118958
36 0.157586 0.142404 0.104542 0.086333 0.048993 0.357026 0.098672 0.098672
37 0.163144 0.181858 0.108939 0.044444 0.059427 0.342225 0.100170 0.100170
38 0.070074 0.187124 0.011246 0.070644 0.027651 0.359900 0.074837 0.074837
45 0.170387 0.207698 0.094944 0.027631 0.040651 0.230233 0.152785 0.152785
46 0.197883 0.105053 0.084171 0.022102 0.046738 0.247625 0.116685 0.116685
47 0.161702 0.136103 0.080696 0.052292 0.042247 0.204966 0.111365 0.111365
48 0.137264 0.098775 0.105785 0.027412 0.022035 0.275456 0.103717 0.103717
56 0.200972 0.104561 0.086038 0.014785 0.046787 0.241936 0.128852 0.128852
57 0.163235 0.110268 0.079679 0.059484 0.045153 0.207055 0.108880 0.108880
58 0.143412 0.109610 0.108914 0.034461 0.026001 0.271587 0.097888 0.097888
67 0.131641 0.117041 0.090556 0.080589 0.046821 0.287842 0.128944 0.128944
68 0.174529 0.130648 0.087930 0.051677 0.048595 0.223647 0.091330 0.091330
78 0.189431 0.111394 0.085309 0.068299 0.052961 0.203094 0.143209 0.143209
