cur_topo missing1 missing2 missing3 missing4 missing5 missing6 missing7
12 0.158849 0.197107 0.104453 0.034056 0.031245 0.261482 0.110177
13 0.119371 0.308116 0.096706 0.124212 0.017188 0.293824 0.143733
14 0.157183 0.164057 0.083265 0.047681 0.050270 0.196477 0.157234
15 0.151420 0.155235 0.088235 0.063937 0.047414 0.205300 0.158870
16 0.141218 0.138041 0.060525 0.092980 0.039668 0.175776 0.112702
17 0.145528 0.133622 0.055078 0.108656 0.056613 0.146151 0.123350
23 0.134182 0.256742 0.093607 0.101661 0.030282 0.296321 0.140283
24 0.133345 0.210325 0.098375 0.122663 0.021051 0.219856 0.146314
25 0.143262 0.199815 0.096631 0.128693 0.015344 0.230883 0.150624
26 0.141008 0.113357 0.058195 0.047401 0.076650 0.144886 0.121018
27 0.152597 0.110762 0.042547 0.047482 0.082673 0.130514 0.132833
34 0.082619 0.267958 0.029022 0.056258 0.030356 0.378507 0.097774
35 0.072553 0.244978 0.028720 0.080842 0.011955 0.368766 0.089806
36 0.167469 0.231574 0.120763 0.091058 0.042162 0.346377 0.108046
37 0.176027 0.214251 0.105054 0.089686 0.054998 0.332229 0.120591
45 0.157408 0.232042 0.116910 0.094939 0.058542 0.255047 0.146233
46 0.174702 0.146602 0.095406 0.024426 0.048220 0.259732 0.109158
47 0.174074 0.141234 0.089652 0.029018 0.062513 0.219119 0.115283
56 0.173486 0.121332 0.086013 0.033094 0.056698 0.248669 0.119677
57 0.192203 0.126627 0.088391 0.032413 0.061892 0.215765 0.104801
67 0.155378 0.198986 0.089566 0.094297 0.048833 0.296848 0.165853
