cur_topo missing1 missing2 missing3 missing4 missing5 missing6 missing7 missing8
123 0.104675 0.245552 0.047389 0.056544 0.016548 0.293914 0.071994 0.071994
124 0.170890 0.235280 0.114003 0.083878 0.053741 0.185468 0.099280 0.099280
125 0.170918 0.218713 0.116705 0.089714 0.040157 0.187015 0.106479 0.106479
126 0.202817 0.155973 0.070921 0.031681 0.053676 0.228093 0.081807 0.081807
127 0.199802 0.151904 0.093227 0.039699 0.048795 0.173425 0.075219 0.075219
128 0.161701 0.196766 0.097326 0.033910 0.051452 0.154949 0.150936 0.150936
134 0.139718 0.264836 0.086024 0.084458 0.037687 0.212024 0.107191 0.107191
135 0.137445 0.266379 0.088491 0.087711 0.031709 0.213920 0.102902 0.102902
136 0.135536 0.251773 0.126365 0.123109 0.029648 0.256803 0.092142 0.092142
137 0.135801 0.253011 0.115768 0.121572 0.025199 0.199512 0.104978 0.104978
138 0.112923 0.303296 0.091348 0.121167 0.023760 0.186394 0.183937 0.183937
145 0.130751 0.184332 0.081778 0.110493 0.031547 0.150495 0.113803 0.113803
146 0.149022 0.113934 0.045730 0.032991 0.069518 0.142936 0.089625 0.089625
147 0.158324 0.115316 0.046501 0.035319 0.081224 0.105871 0.098318 0.098318
148 0.142074 0.162955 0.078433 0.052424 0.060527 0.125585 0.204298 0.204298
156 0.162979 0.114612 0.047838 0.039576 0.066952 0.136408 0.093109 0.093109
157 0.170225 0.111505 0.047559 0.045522 0.075588 0.108123 0.108145 0.108145
158 0.138984 0.158367 0.073135 0.068121 0.053725 0.121469 0.206450 0.206450
167 0.127989 0.183575 0.087623 0.115929 0.020738 0.212068 0.148681 0.148681
168 0.146442 0.141713 0.055507 0.107712 0.049017 0.120052 0.183810 0.183810
178 0.137818 0.155263 0.035713 0.093938 0.052799 0.103117 0.208843 0.208843
234 0.109531 0.299533 0.122989 0.126030 0.024677 0.253173 0.117714 0.117714
235 0.119953 0.285213 0.118574 0.134866 0.015092 0.244691 0.114796 0.114796
236 0.156939 0.200397 0.108268 0.081251 0.055880 0.218061 0.103840 0.103840
237 0.178824 0.193262 0.122326 0.093456 0.070890 0.211982 0.084733 0.084733
238 0.112629 0.261084 0.084216 0.106394 0.048964 0.182202 0.167081 0.167081
245 0.136106 0.151606 0.067319 0.042367 0.073142 0.158658 0.138598 0.138598
246 0.117801 0.167769 0.054625 0.090646 0.050112 0.146931 0.074808 0.074808
247 0.137207 0.153018 0.073042 0.103252 0.029662 0.123507 0.106927 0.106927
248 0.123190 0.216438 0.080951 0.107839 0.028587 0.134993 0.192127 0.192127
256 0.125714 0.156538 0.060887 0.118957 0.034054 0.146959 0.083340 0.083340
257 0.146465 0.158100 0.051432 0.114058 0.038262 0.128361 0.101528 0.101528
258 0.133166 0.206729 0.087973 0.118963 0.029578 0.131984 0.193526 0.193526
267 0.139232 0.171139 0.072060 0.071350 0.070172 0.198933 0.157671 0.157671
268 0.144178 0.107289 0.049800 0.058315 0.062479 0.094178 0.185293 0.185293
278 0.132934 0.132649 0.046330 0.067032 0.079661 0.092071 0.216322 0.216322
345 0.092373 0.293285 0.012905 0.110872 0.041333 0.295807 0.072959 0.072959
346 0.141850 0.236563 0.084980 0.028688 0.034663 0.302848 0.064063 0.064063
347 0.146962 0.227250 0.076871 0.028914 0.041151 0.288408 0.077747 0.077747
348 0.094307 0.261558 0.041119 0.066519 0.020227 0.235349 0.106942 0.106942
356 0.143286 0.207235 0.084082 0.044388 0.024507 0.301742 0.073550 0.073550
357 0.146712 0.204975 0.064134 0.039173 0.032475 0.282225 0.081886 0.081886
358 0.099847 0.247687 0.035319 0.075840 0.022195 0.229766 0.106173 0.106173
367 0.101554 0.270285 0.030019 0.115949 0.024867 0.315056 0.070871 0.070871
368 0.174704 0.241228 0.131071 0.097236 0.049028 0.236826 0.160773 0.160773
378 0.180133 0.197429 0.113496 0.099253 0.059525 0.247206 0.173177 0.173177
456 0.179916 0.184249 0.103227 0.077410 0.067297 0.191497 0.081510 0.081510
457 0.180405 0.182383 0.093313 0.080367 0.073091 0.164402 0.096212 0.096212
458 0.139838 0.204620 0.110428 0.095043 0.063266 0.156256 0.184536 0.184536
467 0.139641 0.179304 0.100095 0.021231 0.031654 0.257816 0.110482 0.110482
468 0.168242 0.149094 0.082876 0.043809 0.056967 0.161748 0.171294 0.171294
478 0.169736 0.139730 0.059583 0.044432 0.062749 0.148131 0.183615 0.183615
567 0.150550 0.170954 0.102257 0.028162 0.035875 0.257775 0.113680 0.113680
568 0.180615 0.143114 0.087144 0.049777 0.060924 0.157413 0.171352 0.171352
578 0.182750 0.119426 0.057554 0.054127 0.056897 0.152528 0.179377 0.179377
678 0.139583 0.188319 0.098364 0.097021 0.055188 0.158711 0.194395 0.194395
