cur_topo missing1 missing2 missing3 missing4 missing5 missing6 missing7
12 0.172682 0.157726 0.045091 0.178464 0.173170 0.166557 0.176961
12 0.167784 0.142638 0.059568 0.178457 0.168863 0.162174 0.188902
12 0.175939 0.147647 0.058724 0.168194 0.173179 0.166525 0.176780
13 0.116958 0.312213 0.098556 0.111540 0.108388 0.318857 0.091729
13 0.108177 0.316192 0.097497 0.110750 0.106471 0.311016 0.102418
13 0.118866 0.311069 0.091288 0.108694 0.107191 0.308564 0.086577
14 0.219741 0.121246 0.070034 0.267416 0.173064 0.143270 0.344551
14 0.225475 0.126884 0.068302 0.256517 0.174843 0.145763 0.327231
14 0.214066 0.128621 0.059828 0.254302 0.182349 0.142137 0.330686
15 0.230681 0.126244 0.060346 0.265328 0.173598 0.147315 0.337400
15 0.225069 0.121229 0.069470 0.260896 0.175798 0.129563 0.332773
15 0.213141 0.114962 0.076995 0.266864 0.187803 0.133472 0.333796
16 0.254654 0.146540 0.229916 0.300595 0.185141 0.180552 0.263154
16 0.256876 0.134160 0.230006 0.309072 0.181024 0.189307 0.273573
16 0.244300 0.147202 0.223323 0.318602 0.191568 0.191545 0.263296
17 0.254082 0.139720 0.229546 0.316804 0.176952 0.181513 0.270130
17 0.248859 0.147030 0.219323 0.303421 0.183041 0.191670 0.269692
17 0.251025 0.137424 0.222354 0.309284 0.183088 0.183286 0.264621
23 0.152745 0.219855 0.101263 0.197432 0.119928 0.339674 0.126897
23 0.155079 0.219137 0.093690 0.191809 0.117775 0.343712 0.123259
23 0.159832 0.213435 0.090063 0.194137 0.116989 0.331281 0.123185
24 0.202663 0.283140 0.097504 0.153748 0.159327 0.148783 0.256475
24 0.187215 0.293779 0.086074 0.142271 0.162577 0.159980 0.271209
24 0.183351 0.290060 0.078117 0.145487 0.142202 0.156980 0.279690
25 0.186950 0.279201 0.089751 0.159213 0.145900 0.155548 0.266371
25 0.192939 0.282965 0.092202 0.147256 0.151577 0.151609 0.263370
25 0.186765 0.305259 0.086590 0.139346 0.148663 0.154960 0.276658
26 0.353842 0.091194 0.185152 0.183724 0.295547 0.176748 0.338117
26 0.361173 0.090765 0.187021 0.168610 0.287823 0.188088 0.331519
26 0.347979 0.099065 0.194803 0.182904 0.293034 0.181532 0.333907
27 0.358940 0.089964 0.192154 0.173707 0.291521 0.188954 0.324356
27 0.348277 0.099865 0.180033 0.174171 0.297171 0.190661 0.325501
27 0.355755 0.092557 0.193973 0.173826 0.291890 0.183254 0.334548
34 0.124590 0.280727 0.051825 0.116080 0.154815 0.232038 0.140618
34 0.118609 0.281866 0.056628 0.110180 0.150207 0.237638 0.153450
34 0.119014 0.276954 0.060151 0.120954 0.146370 0.237544 0.156900
35 0.113939 0.274330 0.070591 0.106152 0.136743 0.246923 0.152211
35 0.112911 0.266526 0.052508 0.105431 0.136754 0.237707 0.157193
35 0.120370 0.270923 0.062766 0.109863 0.134272 0.245698 0.152078
36 0.119518 0.367932 0.148178 0.228250 0.185256 0.409206 0.143088
36 0.122649 0.371585 0.146093 0.229898 0.180603 0.409833 0.149489
36 0.124708 0.351853 0.153056 0.234027 0.184662 0.412366 0.139514
37 0.111580 0.363727 0.140595 0.221527 0.188905 0.406429 0.137902
37 0.113138 0.360044 0.128128 0.234412 0.189307 0.398163 0.150366
37 0.116237 0.361311 0.140084 0.234446 0.195824 0.405385 0.155540
45 0.163241 0.232312 0.050429 0.175120 0.173757 0.200101 0.184173
45 0.176292 0.234825 0.055852 0.189289 0.178669 0.201491 0.193157
45 0.173014 0.236274 0.051144 0.192639 0.173481 0.198409 0.196802
46 0.323246 0.084772 0.046783 0.291678 0.145356 0.260146 0.181250
46 0.320941 0.074521 0.034112 0.290047 0.142230 0.257787 0.182752
46 0.311623 0.071453 0.035312 0.289740 0.134635 0.249159 0.183128
47 0.318474 0.072221 0.044352 0.288097 0.139592 0.255788 0.180501
47 0.315847 0.077830 0.038837 0.284711 0.134414 0.257346 0.184802
47 0.326605 0.091143 0.040611 0.291692 0.137553 0.262256 0.182172
56 0.314527 0.061362 0.043334 0.294829 0.130991 0.254897 0.183184
56 0.324853 0.087830 0.028929 0.303220 0.146940 0.265350 0.172923
56 0.324072 0.072690 0.044006 0.287172 0.125710 0.253576 0.180392
57 0.329386 0.092589 0.024831 0.287583 0.146817 0.259839 0.176924
57 0.319748 0.087154 0.035895 0.285145 0.137635 0.259119 0.179389
57 0.319942 0.076483 0.042392 0.279778 0.135936 0.258997 0.182506
67 0.164579 0.235248 0.056258 0.192794 0.183812 0.198710 0.190258
67 0.160300 0.230933 0.065814 0.189766 0.191492 0.197772 0.183562
67 0.184290 0.232918 0.042865 0.185203 0.173306 0.196169 0.192205
