cur_topo missing1 missing2 missing3 missing4 missing5 missing6 missing7 missing8
123 0.085947 0.296572 0.087641 0.073134 0.141278 0.431407 0.094156 0.156481
123 0.093664 0.292554 0.073257 0.078047 0.149513 0.436017 0.094894 0.157966
123 0.088780 0.295820 0.088062 0.068056 0.146073 0.440371 0.094167 0.165512
124 0.311941 0.213347 0.043631 0.251705 0.196835 0.395183 0.051560 0.076538
124 0.317168 0.191451 0.044916 0.268275 0.208906 0.391623 0.063619 0.073044
124 0.316678 0.206781 0.047338 0.256543 0.201749 0.394570 0.056773 0.075852
125 0.305591 0.190472 0.050226 0.261597 0.208849 0.391100 0.061999 0.066589
125 0.305724 0.191374 0.047333 0.259911 0.207230 0.392742 0.070275 0.069864
125 0.311719 0.197249 0.053885 0.260776 0.204392 0.388946 0.059196 0.066770
126 0.139239 0.046063 0.016636 0.197789 0.109165 0.462498 0.019015 0.316042
126 0.132548 0.042599 0.011712 0.195142 0.096355 0.465511 0.016634 0.324160
126 0.121598 0.034338 0.027650 0.196680 0.101835 0.457851 0.026762 0.318442
127 0.130671 0.035583 0.021766 0.198894 0.105472 0.466110 0.022091 0.319906
127 0.127914 0.034014 0.019349 0.187038 0.100247 0.464523 0.016109 0.317396
127 0.137237 0.040714 0.021355 0.194415 0.108576 0.467678 0.022295 0.323651
128 0.233404 0.132975 0.043129 0.163335 0.168420 0.037449 0.249900 0.072326
128 0.233935 0.131592 0.042693 0.157991 0.171270 0.038279 0.251175 0.079912
128 0.227442 0.131346 0.044641 0.155745 0.164308 0.033495 0.254884 0.079881
134 0.124417 0.246250 0.090181 0.121612 0.113899 0.449155 0.046733 0.077436
134 0.118994 0.242640 0.097908 0.130875 0.119278 0.447615 0.037860 0.075944
134 0.144760 0.223941 0.092035 0.137856 0.107585 0.452771 0.044096 0.073493
135 0.126225 0.235195 0.092827 0.147003 0.104663 0.447448 0.049905 0.079128
135 0.134920 0.231865 0.091737 0.137108 0.102152 0.445365 0.051080 0.061401
135 0.125263 0.241618 0.086478 0.138572 0.102865 0.446518 0.041541 0.073800
136 0.120995 0.404544 0.273589 0.297849 0.168424 0.513969 0.067632 0.352095
136 0.135546 0.394038 0.257619 0.314931 0.178212 0.517539 0.087228 0.357992
136 0.130589 0.397004 0.263766 0.309466 0.185972 0.519517 0.090179 0.356588
137 0.122983 0.401470 0.269429 0.302090 0.171479 0.529002 0.075753 0.357871
137 0.131392 0.390799 0.259614 0.314715 0.182066 0.521536 0.091620 0.356971
137 0.126072 0.396421 0.262619 0.301448 0.176358 0.520014 0.084306 0.348382
138 0.112922 0.276773 0.122074 0.117291 0.108335 0.214971 0.207456 0.096588
138 0.115007 0.273062 0.115165 0.120868 0.115120 0.207040 0.198127 0.098072
138 0.107101 0.268884 0.109874 0.114895 0.113133 0.203424 0.201034 0.097000
145 0.049102 0.410043 0.145425 0.326490 0.059390 0.394058 0.172479 0.251920
145 0.044822 0.403067 0.162483 0.332243 0.070155 0.389026 0.168748 0.251964
145 0.043322 0.401187 0.165018 0.336365 0.065566 0.396159 0.172383 0.257233
146 0.601406 0.094974 0.142548 0.124441 0.359851 0.359848 0.082244 0.558783
146 0.612576 0.078966 0.142755 0.132611 0.357043 0.350988 0.095348 0.550197
146 0.602529 0.083075 0.133275 0.124941 0.363381 0.353966 0.084082 0.562678
147 0.600523 0.083869 0.133726 0.125248 0.364664 0.355416 0.082853 0.547491
147 0.606957 0.094316 0.138984 0.125827 0.362324 0.349884 0.089122 0.541775
147 0.612862 0.080546 0.141732 0.127458 0.353857 0.357849 0.095679 0.553580
148 0.200759 0.104487 0.063638 0.271011 0.172256 0.061831 0.434822 0.085222
148 0.191828 0.114533 0.059844 0.271450 0.180256 0.053175 0.440185 0.085730
148 0.187037 0.113983 0.051484 0.266329 0.180553 0.050716 0.432356 0.084965
156 0.607549 0.081335 0.141576 0.133144 0.361773 0.366706 0.085600 0.555071
156 0.608917 0.084185 0.141162 0.130917 0.353903 0.354380 0.102355 0.548834
156 0.602173 0.091321 0.139999 0.123308 0.365432 0.343147 0.086290 0.549356
157 0.600217 0.085978 0.134864 0.126281 0.362549 0.354347 0.081774 0.556031
157 0.606422 0.080448 0.145390 0.128864 0.351073 0.341507 0.094138 0.539829
157 0.609469 0.079475 0.147688 0.133554 0.352215 0.357369 0.104585 0.547324
158 0.194090 0.112392 0.055942 0.266676 0.178506 0.059900 0.430266 0.079283
158 0.183867 0.112122 0.055892 0.263346 0.177879 0.064763 0.428300 0.082783
158 0.193649 0.097572 0.062982 0.264323 0.173421 0.054836 0.444256 0.084699
167 0.051284 0.405198 0.159818 0.336973 0.064844 0.404644 0.168067 0.265848
167 0.036900 0.410755 0.152318 0.331560 0.056717 0.398091 0.176380 0.262468
167 0.042227 0.413936 0.148265 0.325341 0.059284 0.399476 0.179122 0.260345
168 0.214340 0.184653 0.173793 0.210862 0.171729 0.079409 0.367323 0.248165
168 0.211400 0.181332 0.172199 0.219051 0.169655 0.082916 0.366849 0.242149
168 0.214599 0.178532 0.170715 0.211871 0.170873 0.087444 0.354395 0.252328
178 0.216930 0.170924 0.173092 0.217176 0.179788 0.092525 0.354723 0.236320
178 0.213159 0.172132 0.169351 0.212209 0.177315 0.085184 0.356696 0.244272
178 0.218476 0.168588 0.171165 0.220424 0.177727 0.090979 0.360348 0.237576
234 0.064496 0.335709 0.100034 0.259951 0.084172 0.447864 0.025604 0.167219
234 0.064966 0.326189 0.095408 0.258395 0.097136 0.454735 0.020126 0.160005
234 0.051595 0.339433 0.106876 0.245200 0.086252 0.452748 0.038540 0.170069
235 0.065380 0.337774 0.101459 0.251024 0.096553 0.450349 0.032163 0.171052
235 0.061935 0.333701 0.104928 0.245274 0.085444 0.451161 0.019907 0.167922
235 0.063373 0.337079 0.102104 0.259050 0.096523 0.451670 0.024385 0.164330
236 0.236341 0.242972 0.345754 0.123388 0.129067 0.553325 0.039777 0.300389
236 0.232830 0.244007 0.355008 0.115096 0.139769 0.554309 0.047360 0.299161
