cur_topo missing1 missing2 missing3 missing4 missing5 missing6 missing7 missing8 missing9 missing10
123 0.069958 0.242145 0.047349 0.047672 0.086984 0.216478 0.232529 0.201191 0.155534 0.213133
123 0.080421 0.239206 0.045345 0.048127 0.084445 0.217960 0.234504 0.209113 0.146900 0.209666
123 0.078817 0.235593 0.039736 0.048494 0.076712 0.231230 0.232633 0.206261 0.149202 0.213760
124 0.207913 0.170788 0.061640 0.134746 0.131957 0.220598 0.238525 0.210133 0.282296 0.132761
124 0.219588 0.190162 0.050798 0.129843 0.123962 0.204393 0.238870 0.205379 0.287533 0.137801
124 0.215978 0.185800 0.057443 0.134256 0.129954 0.219858 0.233397 0.213660 0.278978 0.134614
125 0.216393 0.192771 0.049954 0.130327 0.127736 0.212631 0.234440 0.212499 0.282210 0.134728
125 0.222982 0.189425 0.060256 0.136125 0.125249 0.221920 0.231523 0.218324 0.270467 0.141156
125 0.222877 0.195383 0.047394 0.125986 0.122479 0.211236 0.230985 0.207820 0.269360 0.144304
126 0.162394 0.082847 0.033851 0.153074 0.157644 0.174097 0.167171 0.194650 0.175705 0.150439
126 0.159695 0.074858 0.031853 0.151231 0.160875 0.178831 0.169316 0.195432 0.172692 0.147769
126 0.150012 0.081553 0.036585 0.146794 0.161159 0.191051 0.171896 0.194463 0.169773 0.152249
127 0.236469 0.144879 0.070716 0.143249 0.164825 0.140940 0.319286 0.289210 0.166724 0.372181
127 0.242642 0.157346 0.062043 0.134637 0.173152 0.144385 0.323796 0.294382 0.152912 0.375142
127 0.250438 0.159985 0.061918 0.147261 0.175690 0.129605 0.328366 0.288978 0.149158 0.372228
128 0.189693 0.210282 0.070005 0.144522 0.136297 0.127016 0.343833 0.373478 0.138848 0.280016
128 0.193712 0.202619 0.057833 0.140871 0.128415 0.129170 0.333779 0.364918 0.141101 0.293234
128 0.187865 0.210231 0.058900 0.136924 0.137314 0.123921 0.341282 0.359144 0.139674 0.285203
129 0.198743 0.060583 0.072863 0.117950 0.144859 0.198572 0.157419 0.300683 0.172082 0.163084
129 0.210560 0.064261 0.072734 0.114747 0.146748 0.199933 0.162914 0.299416 0.172213 0.171695
129 0.200799 0.066277 0.066545 0.112891 0.152620 0.210819 0.163757 0.312885 0.177749 0.170668
1210 0.268594 0.134482 0.049568 0.119681 0.074527 0.269414 0.161348 0.259818 0.268652 0.186742
1210 0.249954 0.124643 0.061440 0.121982 0.069828 0.274063 0.169761 0.270711 0.279415 0.188462
1210 0.262036 0.126245 0.050559 0.117364 0.073736 0.279998 0.163868 0.264932 0.259793 0.188107
134 0.144443 0.224429 0.109559 0.160044 0.112595 0.200814 0.270974 0.237767 0.144720 0.213113
134 0.144020 0.219587 0.105001 0.165804 0.109986 0.205839 0.266428 0.229345 0.144796 0.213510
134 0.137165 0.224199 0.105053 0.167819 0.104693 0.196724 0.261913 0.226482 0.149163 0.220392
135 0.139303 0.217215 0.097181 0.178457 0.105348 0.201277 0.280435 0.240440 0.143043 0.206727
135 0.139172 0.215684 0.107713 0.165860 0.101469 0.196248 0.282113 0.238192 0.151297 0.210805
135 0.142026 0.219856 0.102527 0.166738 0.097424 0.193178 0.259098 0.227782 0.146748 0.216063
136 0.074821 0.273258 0.166414 0.171036 0.089289 0.208075 0.287376 0.260722 0.157190 0.192391
136 0.079484 0.273515 0.159086 0.168555 0.091775 0.216163 0.298335 0.265613 0.165391 0.192138
136 0.075085 0.277033 0.156948 0.173465 0.094952 0.209449 0.293784 0.274216 0.153285 0.203015
137 0.058838 0.359383 0.077180 0.138544 0.090574 0.220073 0.362549 0.215703 0.101366 0.373139
137 0.058174 0.355940 0.084249 0.143010 0.073509 0.210472 0.368269 0.227100 0.116534 0.375637
137 0.066380 0.347907 0.081631 0.152308 0.090310 0.211146 0.353957 0.216644 0.106983 0.367226
138 0.096931 0.293995 0.147986 0.207975 0.093557 0.213704 0.318605 0.244698 0.121392 0.450215
138 0.096990 0.295376 0.151148 0.207157 0.086802 0.213932 0.321083 0.242743 0.119961 0.448872
138 0.098307 0.294792 0.155032 0.201086 0.079987 0.211435 0.321363 0.249035 0.116566 0.454002
139 0.108579 0.288418 0.269417 0.197194 0.110719 0.228731 0.194510 0.279326 0.197572 0.252598
139 0.116154 0.290565 0.269905 0.204059 0.104023 0.223731 0.195215 0.285785 0.208825 0.248617
139 0.116064 0.279985 0.266802 0.206623 0.110341 0.241372 0.188754 0.281089 0.201791 0.266849
1310 0.109628 0.259324 0.216084 0.215168 0.117487 0.282203 0.245106 0.374576 0.200302 0.216000
1310 0.115899 0.260106 0.211766 0.214190 0.114832 0.292022 0.247205 0.371949 0.198634 0.218390
1310 0.099329 0.266891 0.228915 0.211965 0.109397 0.266514 0.235184 0.372685 0.201664 0.217887
145 0.212942 0.189452 0.080840 0.216358 0.107618 0.202431 0.220699 0.195544 0.295657 0.102445
145 0.220462 0.184133 0.083897 0.223056 0.129300 0.197505 0.219376 0.183149 0.293779 0.113434
145 0.219176 0.188526 0.098122 0.222331 0.125185 0.212721 0.223366 0.184746 0.288415 0.110795
146 0.199695 0.133520 0.108831 0.105372 0.188413 0.224385 0.254309 0.198015 0.266963 0.091938
146 0.193877 0.139483 0.093136 0.105821 0.197053 0.218293 0.245317 0.185256 0.276328 0.101710
146 0.197497 0.125684 0.108147 0.092552 0.191496 0.222997 0.243941 0.201066 0.261924 0.088950
147 0.286619 0.139635 0.090949 0.143108 0.234087 0.187763 0.459756 0.276078 0.350837 0.164922
147 0.284434 0.153721 0.087520 0.144041 0.226578 0.193472 0.455446 0.271503 0.346122 0.162318
147 0.285610 0.152133 0.092200 0.143877 0.233983 0.200020 0.457523 0.275142 0.350503 0.158420
148 0.235886 0.180629 0.145851 0.249919 0.220126 0.240898 0.422237 0.353552 0.346630 0.170718
148 0.236887 0.182560 0.134398 0.257605 0.230563 0.231090 0.425615 0.362495 0.353750 0.179797
