cur_topo missing1 missing2 missing3 missing4 missing5 missing6 missing7 missing8 missing9
12 0.056110 0.029386 0.026567 0.129057 0.157974 0.391853 0.024957 0.115692 0.028696
12 0.061238 0.027829 0.022090 0.141712 0.166104 0.374788 0.020895 0.106154 0.020609
12 0.058233 0.036646 0.021482 0.133191 0.162570 0.382376 0.016791 0.111441 0.028490
13 0.063104 0.358359 0.133717 0.062637 0.100185 0.466463 0.021602 0.104622 0.153070
13 0.067902 0.357794 0.136630 0.075632 0.101261 0.467361 0.023650 0.109651 0.167384
13 0.059384 0.359705 0.127982 0.064061 0.099096 0.470769 0.024770 0.113471 0.162242
14 0.371528 0.181745 0.091539 0.144674 0.240943 0.349082 0.140761 0.079037 0.081817
14 0.374962 0.168779 0.091023 0.143650 0.237086 0.342070 0.137336 0.074845 0.086869
14 0.372801 0.180461 0.091830 0.156792 0.253191 0.337356 0.136854 0.062053 0.084818
15 0.378829 0.180228 0.093118 0.145933 0.244263 0.337593 0.122644 0.077287 0.080101
15 0.372136 0.176131 0.102053 0.143521 0.241888 0.341839 0.132366 0.077007 0.084833
15 0.380575 0.164848 0.098504 0.141634 0.230911 0.345604 0.135364 0.070416 0.098429
16 0.132166 0.311564 0.149784 0.434216 0.279484 0.340813 0.165011 0.514338 0.216555
16 0.127890 0.312124 0.147134 0.431707 0.273313 0.345104 0.172904 0.518174 0.217622
16 0.141154 0.307998 0.145314 0.434008 0.277972 0.332635 0.176536 0.505224 0.206117
17 0.230364 0.097603 0.206322 0.319491 0.113717 0.393898 0.047825 0.382324 0.095538
17 0.228317 0.086654 0.208452 0.330594 0.112230 0.403344 0.053101 0.392439 0.102488
17 0.230689 0.095110 0.201425 0.325073 0.111837 0.405094 0.042240 0.388611 0.099949
18 0.211071 0.206459 0.182963 0.219522 0.190746 0.042240 0.350872 0.065579 0.468499
18 0.202646 0.209434 0.176733 0.223924 0.186957 0.058630 0.353961 0.063926 0.463471
18 0.217475 0.206682 0.181673 0.224786 0.193465 0.053370 0.358430 0.069314 0.469041
19 0.052706 0.327080 0.128782 0.350355 0.057638 0.418918 0.119760 0.284621 0.130617
19 0.054279 0.316599 0.139419 0.365775 0.062843 0.404077 0.107322 0.289293 0.117924
19 0.054084 0.317784 0.140669 0.367585 0.063981 0.416052 0.104559 0.291777 0.115226
23 0.136514 0.189513 0.086561 0.144420 0.111996 0.462302 0.035619 0.145577 0.083510
23 0.140179 0.188777 0.084252 0.146712 0.106399 0.466316 0.043394 0.141589 0.084180
23 0.142692 0.183951 0.079638 0.148925 0.104103 0.457446 0.057124 0.149469 0.079810
24 0.053188 0.316516 0.125329 0.355445 0.049431 0.416473 0.111757 0.294409 0.111627
24 0.060338 0.309754 0.129970 0.360069 0.053892 0.408172 0.110141 0.286269 0.115756
24 0.060150 0.323267 0.130493 0.357956 0.057437 0.414009 0.127363 0.292790 0.132275
25 0.050368 0.322089 0.126185 0.360388 0.059058 0.414861 0.107034 0.287828 0.127622
25 0.056175 0.313362 0.126768 0.365528 0.061346 0.403861 0.115584 0.296772 0.119945
25 0.051119 0.324598 0.124466 0.359906 0.058533 0.407389 0.108942 0.284008 0.122912
26 0.564937 0.095074 0.119756 0.066645 0.374490 0.350407 0.083818 0.442006 0.031623
26 0.568724 0.103263 0.129874 0.072859 0.372711 0.346876 0.098009 0.428200 0.025395
26 0.573584 0.105830 0.119431 0.069604 0.372034 0.351960 0.081779 0.433253 0.036117
27 0.580568 0.088376 0.177931 0.277980 0.365665 0.360040 0.099991 0.566380 0.051142
27 0.578505 0.085094 0.182540 0.274463 0.368247 0.361142 0.103167 0.568178 0.043538
27 0.574833 0.095729 0.176164 0.270874 0.377493 0.361697 0.098500 0.557259 0.060565
28 0.354067 0.096761 0.087354 0.192970 0.127198 0.046798 0.368087 0.063614 0.347968
28 0.345800 0.096138 0.077905 0.196361 0.138632 0.043925 0.370046 0.059130 0.350713
28 0.340099 0.104309 0.071262 0.196288 0.129892 0.035105 0.379992 0.066516 0.342475
