cur_topo missing1 missing2 missing3 missing4 missing5 missing6 missing7 missing8
12 0.118786 0.036733 0.033346 0.191110 0.156861 0.149308 0.183586 0.197325
12 0.116216 0.041710 0.017028 0.181373 0.159852 0.153992 0.175861 0.203762
12 0.115380 0.036644 0.020109 0.178389 0.155284 0.144859 0.183774 0.189375
13 0.088714 0.341345 0.096781 0.177756 0.101583 0.347118 0.103891 0.221691
13 0.085576 0.336539 0.088193 0.171872 0.096965 0.338274 0.107533 0.224240
13 0.083596 0.344418 0.109125 0.164695 0.094167 0.352480 0.104763 0.225054
14 0.173917 0.183309 0.063248 0.133589 0.205333 0.126088 0.190137 0.203416
14 0.173849 0.177441 0.066581 0.146689 0.206425 0.133373 0.193590 0.190342
14 0.169148 0.189508 0.059425 0.152154 0.215293 0.133423 0.201648 0.190830
15 0.173894 0.181680 0.055916 0.150506 0.195356 0.136742 0.207078 0.189444
15 0.176650 0.180212 0.071710 0.143998 0.208523 0.124479 0.184891 0.194974
15 0.165365 0.189553 0.066199 0.144693 0.215009 0.123953 0.195039 0.188156
16 0.170834 0.246611 0.167870 0.277532 0.197185 0.137870 0.243993 0.315755
16 0.166789 0.248637 0.162908 0.272597 0.205395 0.134886 0.256123 0.329135
16 0.159171 0.254733 0.166079 0.269890 0.197844 0.129519 0.251854 0.318164
17 0.288374 0.058808 0.226056 0.263593 0.147962 0.129689 0.211346 0.264173
17 0.280118 0.066478 0.229085 0.255854 0.152706 0.122697 0.207570 0.268875
17 0.283017 0.062252 0.233509 0.264411 0.141453 0.120464 0.217429 0.261045
18 0.206629 0.187986 0.084006 0.259265 0.124793 0.145709 0.256446 0.145609
18 0.195488 0.186191 0.078522 0.263199 0.121136 0.137844 0.261083 0.145481
18 0.183363 0.187574 0.074829 0.260768 0.104811 0.149022 0.260793 0.152612
23 0.196196 0.164623 0.122957 0.197876 0.087691 0.320218 0.130787 0.135367
23 0.206437 0.172545 0.127047 0.189752 0.082820 0.321421 0.130315 0.143315
23 0.187346 0.177833 0.131056 0.199683 0.093691 0.309967 0.124818 0.142461
24 0.193852 0.199448 0.068262 0.251748 0.104512 0.152446 0.263660 0.151125
24 0.198789 0.193082 0.076792 0.254244 0.123345 0.148484 0.255544 0.146391
24 0.198986 0.185876 0.077354 0.254685 0.106692 0.145973 0.253382 0.144906
25 0.188901 0.191187 0.072313 0.257787 0.104688 0.148456 0.257663 0.137053
25 0.195441 0.206383 0.075640 0.245583 0.119356 0.151428 0.261160 0.154020
25 0.196343 0.197952 0.074954 0.250031 0.119477 0.135474 0.253096 0.147690
