cur_topo missing1 missing2 missing3 missing4 missing5 missing6 missing7
12 0.125360 0.125831 0.053605 0.110495 0.117104 0.177596 0.162998
12 0.134260 0.130134 0.043990 0.115076 0.115532 0.184300 0.167641
12 0.136134 0.137516 0.054967 0.109692 0.120009 0.176676 0.164960
13 0.102240 0.255025 0.115419 0.127926 0.090159 0.304062 0.108418
13 0.105387 0.252184 0.126734 0.115876 0.075588 0.311695 0.108177
13 0.092608 0.258628 0.121908 0.118735 0.069557 0.300952 0.117931
14 0.161627 0.092569 0.071531 0.143319 0.179239 0.123130 0.204148
14 0.166019 0.092271 0.068455 0.132392 0.168112 0.133706 0.203181
14 0.159250 0.092729 0.079296 0.139989 0.170822 0.126782 0.200636
15 0.155149 0.092566 0.074204 0.139927 0.174829 0.125184 0.196172
15 0.158713 0.086653 0.076531 0.146280 0.174254 0.126910 0.199610
15 0.174412 0.078226 0.083980 0.147059 0.172582 0.124684 0.198808
16 0.214351 0.186958 0.150562 0.224902 0.132132 0.189875 0.201024
16 0.210192 0.185489 0.160339 0.205770 0.117665 0.182187 0.198461
16 0.218115 0.181016 0.166194 0.222988 0.135844 0.192948 0.202510
17 0.210291 0.176782 0.153434 0.232471 0.136032 0.198175 0.195312
17 0.218114 0.163640 0.160367 0.222898 0.129702 0.200858 0.196625
17 0.198238 0.192686 0.156083 0.214281 0.141961 0.190261 0.200076
23 0.102438 0.188629 0.083903 0.099841 0.091766 0.344960 0.070454
23 0.098864 0.177899 0.082276 0.102912 0.093961 0.342418 0.077194
23 0.088981 0.177403 0.082309 0.118600 0.104757 0.343712 0.084463
24 0.177754 0.214934 0.096978 0.185148 0.108245 0.136336 0.176335
24 0.172206 0.211695 0.103238 0.181557 0.107410 0.130037 0.181624
24 0.167232 0.220285 0.090783 0.166857 0.098497 0.127461 0.171738
25 0.184558 0.214642 0.092502 0.182596 0.111416 0.128518 0.181974
25 0.178580 0.211661 0.098692 0.186760 0.095162 0.130052 0.176059
25 0.173994 0.217621 0.104225 0.173658 0.113021 0.125920 0.187833
26 0.334114 0.088338 0.175025 0.095751 0.282630 0.215224 0.248406
26 0.329654 0.086101 0.174933 0.105334 0.303000 0.227809 0.248601
26 0.333031 0.083941 0.177346 0.103918 0.307596 0.233105 0.258125
27 0.336267 0.084924 0.181687 0.101608 0.302209 0.224774 0.253157
27 0.326302 0.082737 0.162117 0.101562 0.292104 0.228476 0.250928
27 0.330106 0.085002 0.161461 0.104676 0.294215 0.229875 0.250811
34 0.081654 0.215401 0.069490 0.092493 0.074151 0.278541 0.111315
34 0.095100 0.229903 0.052647 0.089075 0.089891 0.267868 0.102014
34 0.091674 0.238478 0.066564 0.078771 0.091796 0.279693 0.100257
35 0.094590 0.229841 0.066303 0.087152 0.087067 0.282808 0.107079
35 0.083924 0.233964 0.067715 0.093123 0.081470 0.288040 0.109757
35 0.082714 0.230066 0.066423 0.094183 0.083399 0.292357 0.105690
36 0.115660 0.345046 0.109016 0.213295 0.106791 0.363674 0.110698
36 0.111422 0.342537 0.106867 0.204756 0.103222 0.367211 0.111389
36 0.123418 0.349241 0.113628 0.203613 0.093252 0.372938 0.100002
37 0.110958 0.348485 0.118005 0.198048 0.099201 0.362958 0.108830
37 0.108035 0.333089 0.105649 0.209878 0.112604 0.364107 0.119629
37 0.119062 0.352710 0.114902 0.199130 0.103061 0.368010 0.111331
45 0.140304 0.230960 0.076039 0.157000 0.133409 0.210700 0.104496
45 0.152537 0.230411 0.059361 0.153929 0.136437 0.196129 0.095371
45 0.152596 0.237569 0.063902 0.149047 0.125927 0.195828 0.097138
46 0.174116 0.067485 0.058723 0.134082 0.111715 0.286741 0.143679
46 0.176525 0.064997 0.046498 0.140843 0.104564 0.268672 0.129297
46 0.176543 0.062558 0.047596 0.130233 0.110640 0.279123 0.133027
47 0.183555 0.071596 0.036728 0.143773 0.114276 0.279721 0.126608
47 0.173760 0.062044 0.039511 0.142710 0.112814 0.282525 0.131308
47 0.177436 0.064220 0.057254 0.142873 0.100784 0.279772 0.132278
56 0.174455 0.061058 0.041198 0.135336 0.111873 0.285852 0.141805
56 0.173518 0.064006 0.038828 0.140655 0.107496 0.277041 0.133578
56 0.179669 0.065350 0.046083 0.134841 0.110051 0.285162 0.120425
57 0.164963 0.069001 0.052600 0.135192 0.114268 0.274612 0.151867
57 0.166397 0.069106 0.060463 0.132938 0.115104 0.286861 0.154849
57 0.170785 0.065129 0.051270 0.140513 0.114275 0.286858 0.133418
67 0.154103 0.237938 0.049066 0.151573 0.122509 0.201952 0.107275
67 0.151722 0.236239 0.067346 0.142669 0.123717 0.202095 0.114219
67 0.159552 0.248740 0.060691 0.136548 0.120766 0.205225 0.109246
