cur_topo missing1 missing2 missing3 missing4 missing5 missing6 missing7 missing8 missing9 missing10
123 0.072444 0.209394 0.041924 0.053501 0.071172 0.167266 0.225388 0.218420 0.108669 0.235158
123 0.080674 0.216959 0.050390 0.050189 0.063607 0.162063 0.230315 0.209091 0.102734 0.229753
123 0.077099 0.209398 0.041781 0.051112 0.055004 0.162106 0.237938 0.228509 0.100094 0.218572
124 0.192717 0.181305 0.057547 0.114730 0.119914 0.171050 0.251987 0.197390 0.177887 0.161374
124 0.196451 0.184651 0.044542 0.104900 0.107267 0.163739 0.248793 0.182340 0.178440 0.165603
124 0.196970 0.193203 0.033168 0.107399 0.114881 0.155563 0.249267 0.189175 0.174971 0.168329
125 0.200698 0.179381 0.059387 0.108466 0.112038 0.169858 0.264023 0.220680 0.165648 0.145779
125 0.191138 0.171966 0.058393 0.113073 0.114666 0.162636 0.255888 0.191446 0.173844 0.155683
125 0.189178 0.171876 0.061294 0.110934 0.116415 0.165684 0.256017 0.192290 0.171195 0.154048
126 0.122783 0.089340 0.032802 0.097660 0.107987 0.144928 0.222877 0.169801 0.153768 0.146841
126 0.118337 0.076726 0.038264 0.099553 0.115325 0.144513 0.223107 0.166045 0.157922 0.151384
126 0.128889 0.084580 0.034219 0.095627 0.103176 0.144169 0.226513 0.164403 0.161381 0.138977
127 0.145895 0.094101 0.069685 0.088658 0.124794 0.135452 0.324385 0.170567 0.150826 0.313825
127 0.151703 0.100379 0.059382 0.092591 0.118896 0.118754 0.319086 0.174677 0.142464 0.316995
127 0.149181 0.103317 0.068926 0.101175 0.113798 0.116974 0.323893 0.182021 0.144690 0.303956
128 0.134980 0.155634 0.051026 0.100728 0.106424 0.137683 0.309573 0.225510 0.150341 0.217863
128 0.129969 0.154173 0.051271 0.101071 0.110290 0.136341 0.310728 0.225258 0.148150 0.222688
128 0.129842 0.148937 0.043796 0.093711 0.096912 0.136898 0.317826 0.221608 0.148803 0.220939
129 0.174160 0.071301 0.059391 0.097424 0.122353 0.173182 0.160577 0.300954 0.162873 0.193728
129 0.163111 0.069045 0.063844 0.098739 0.127142 0.172674 0.148992 0.293863 0.157596 0.179365
129 0.179889 0.078321 0.065019 0.101779 0.130892 0.172642 0.156839 0.298141 0.145205 0.185821
1210 0.224402 0.105240 0.046573 0.105625 0.070451 0.199073 0.139324 0.247713 0.190342 0.204255
1210 0.232972 0.120318 0.028339 0.108590 0.076614 0.194605 0.130654 0.246471 0.183290 0.198599
1210 0.218836 0.100153 0.046426 0.096773 0.066703 0.194960 0.135079 0.258370 0.183081 0.199360
134 0.081503 0.187243 0.067299 0.123370 0.073566 0.149041 0.250288 0.226725 0.087242 0.228733
134 0.079883 0.181540 0.067692 0.130345 0.074321 0.155826 0.259844 0.229145 0.099193 0.230036
134 0.086367 0.188945 0.069551 0.123974 0.075405 0.162990 0.255451 0.225293 0.096540 0.235522
135 0.073417 0.193348 0.078257 0.130596 0.078862 0.148195 0.246804 0.226631 0.099080 0.235734
135 0.081076 0.185318 0.076159 0.121811 0.075992 0.159876 0.243999 0.229788 0.100218 0.239300
135 0.080438 0.196361 0.075876 0.126964 0.078161 0.155340 0.249776 0.225877 0.099433 0.233906
136 0.094915 0.236578 0.143382 0.124860 0.074013 0.178482 0.245897 0.222328 0.121694 0.216417
136 0.088961 0.240533 0.145231 0.122664 0.063859 0.167507 0.236436 0.214879 0.126836 0.212600
136 0.087143 0.240975 0.153025 0.124183 0.063412 0.167060 0.249121 0.211400 0.128866 0.220336
137 0.088951 0.258136 0.128565 0.160411 0.045767 0.181405 0.331061 0.142604 0.078285 0.356362
137 0.099819 0.265642 0.108779 0.157123 0.050229 0.187513 0.331369 0.129956 0.076324 0.358841
137 0.095321 0.264366 0.122980 0.155677 0.048885 0.181194 0.342324 0.134280 0.077353 0.363087
138 0.082642 0.256067 0.138973 0.164087 0.047514 0.135375 0.304758 0.162596 0.107990 0.403592
138 0.094607 0.245093 0.125339 0.171001 0.060760 0.138040 0.307089 0.160608 0.097383 0.402639
138 0.089287 0.247685 0.135182 0.171667 0.054942 0.141872 0.305001 0.158360 0.098409 0.402588
139 0.105233 0.240758 0.231810 0.161827 0.064209 0.159530 0.171591 0.250472 0.125350 0.257257
139 0.108169 0.228235 0.218928 0.170611 0.070371 0.158319 0.164810 0.237649 0.127857 0.258491
139 0.098178 0.233365 0.214395 0.171250 0.074785 0.166032 0.168156 0.246502 0.120671 0.247958
1310 0.106711 0.224576 0.187160 0.171134 0.085182 0.208163 0.172137 0.289989 0.131351 0.226355
1310 0.104444 0.232831 0.192241 0.169264 0.084718 0.203960 0.168931 0.291249 0.125704 0.232283
1310 0.106025 0.221030 0.189264 0.167151 0.081775 0.200243 0.158187 0.294444 0.139194 0.231366
145 0.170187 0.152348 0.061866 0.218674 0.075082 0.150068 0.233414 0.156655 0.268244 0.152598
145 0.182799 0.150794 0.079840 0.216426 0.087991 0.154235 0.231785 0.149260 0.262518 0.142479
145 0.175033 0.139496 0.081459 0.224299 0.084684 0.137168 0.252406 0.168862 0.258207 0.140240
146 0.157374 0.129010 0.075543 0.092851 0.198053 0.173861 0.240981 0.125779 0.200221 0.093471
146 0.157299 0.138035 0.077584 0.084717 0.194578 0.184516 0.238468 0.124289 0.203068 0.107829
146 0.153312 0.132825 0.084734 0.087281 0.196464 0.171348 0.246298 0.119571 0.212600 0.098225
147 0.234763 0.135874 0.093991 0.133722 0.200231 0.161662 0.360797 0.241587 0.235079 0.173617
147 0.232132 0.148190 0.095348 0.135138 0.208940 0.163151 0.366642 0.240643 0.232486 0.170884
147 0.238478 0.136906 0.103867 0.131306 0.203307 0.177983 0.370127 0.240273 0.241144 0.175195
148 0.222617 0.131955 0.092719 0.169946 0.167343 0.192471 0.366057 0.223977 0.264405 0.168158
148 0.219704 0.136240 0.090746 0.177893 0.175824 0.189084 0.365959 0.215663 0.258867 0.160388
148 0.233558 0.132532 0.098263 0.173424 0.152984 0.191502 0.368252 0.230894 0.263599 0.161206
149 0.238405 0.115327 0.141237 0.121116 0.236242 0.175814 0.165629 0.245156 0.246574 0.121167
149 0.247903 0.095865 0.138074 0.103562 0.229626 0.190108 0.152698 0.234663 0.243874 0.133704
149 0.238534 0.101308 0.139149 0.109903 0.223997 0.189992 0.173324 0.254056 0.252263 0.127990
1410 0.290019 0.084089 0.138591 0.149232 0.197698 0.240841 0.149365 0.270119 0.287364 0.105612
