cur_topo missing1 missing2 missing3 missing4 missing5 missing6 missing7 missing8
12 0.097419 0.058794 0.056520 0.086074 0.105012 0.163186 0.121137 0.157891
12 0.093095 0.064036 0.050662 0.076818 0.109675 0.160117 0.117322 0.151583
12 0.086141 0.056164 0.053263 0.092336 0.099852 0.163780 0.126137 0.147114
13 0.115979 0.240525 0.151035 0.096717 0.065467 0.303523 0.098134 0.183010
13 0.112653 0.243041 0.151423 0.083558 0.062857 0.305078 0.098199 0.173181
13 0.117129 0.248042 0.147241 0.090586 0.065638 0.301407 0.082815 0.180906
14 0.165506 0.129647 0.071817 0.079827 0.176904 0.098408 0.143172 0.211060
14 0.149319 0.134391 0.067612 0.092414 0.189831 0.107529 0.139529 0.201003
14 0.166491 0.131602 0.072186 0.090618 0.173031 0.105193 0.138211 0.205041
15 0.157167 0.136893 0.069277 0.090656 0.187606 0.106775 0.140162 0.205354
15 0.156623 0.132792 0.075973 0.082157 0.164314 0.100088 0.127409 0.203773
15 0.163192 0.125665 0.076218 0.090468 0.172124 0.100658 0.137209 0.209710
16 0.214718 0.131132 0.167115 0.249692 0.132287 0.149095 0.167885 0.214925
16 0.226502 0.121570 0.162015 0.270525 0.139255 0.159718 0.175179 0.223564
16 0.232624 0.132225 0.168811 0.259570 0.127508 0.168503 0.175919 0.232823
17 0.258412 0.112665 0.151168 0.151673 0.076393 0.193212 0.131064 0.174762
17 0.253626 0.113662 0.155015 0.154684 0.068275 0.183998 0.153094 0.165285
17 0.252958 0.115035 0.150582 0.160357 0.063528 0.180569 0.150526 0.154668
18 0.179986 0.122591 0.101973 0.244787 0.092022 0.150419 0.249735 0.117014
18 0.165238 0.119281 0.097171 0.236118 0.095425 0.143404 0.252524 0.117057
18 0.180744 0.109991 0.098614 0.243424 0.095861 0.144853 0.248850 0.105622
23 0.093520 0.155132 0.098619 0.143442 0.078886 0.329640 0.108377 0.113589
23 0.116003 0.155524 0.086704 0.135556 0.068876 0.330702 0.111418 0.115627
23 0.104488 0.159407 0.095829 0.123687 0.078836 0.321415 0.103980 0.115389
24 0.181196 0.114143 0.109390 0.239252 0.090867 0.144455 0.237578 0.113975
24 0.180782 0.120827 0.094376 0.237231 0.098998 0.139166 0.247213 0.103638
24 0.185625 0.124848 0.097264 0.241372 0.101395 0.140756 0.242870 0.118575
25 0.177338 0.123064 0.103973 0.226334 0.103418 0.134304 0.249806 0.118740
25 0.167879 0.121811 0.092439 0.234008 0.086328 0.148149 0.251971 0.112920
25 0.181492 0.117107 0.102449 0.254093 0.102860 0.142398 0.245682 0.113787
26 0.391039 0.099578 0.138404 0.144188 0.241606 0.224635 0.209684 0.219351
26 0.395323 0.108819 0.141931 0.144778 0.228412 0.223855 0.215399 0.220195
26 0.379366 0.104006 0.143219 0.147451 0.246383 0.220574 0.215279 0.224984
27 0.288322 0.113661 0.158036 0.112959 0.232358 0.181575 0.195645 0.128057
27 0.291123 0.111489 0.169021 0.107426 0.236348 0.179109 0.193783 0.133223
27 0.296464 0.120114 0.160645 0.102746 0.230817 0.184851 0.207436 0.135923
28 0.154876 0.130206 0.089009 0.089242 0.181815 0.093357 0.129057 0.203214
28 0.163947 0.139356 0.072332 0.099460 0.176876 0.102598 0.138325 0.200450
28 0.167237 0.132474 0.080922 0.089247 0.178676 0.108094 0.128317 0.197126
34 0.089641 0.233806 0.067537 0.039791 0.059674 0.290408 0.118478 0.175012
34 0.097229 0.236434 0.069936 0.046818 0.062710 0.306153 0.109846 0.165866
34 0.078256 0.225906 0.081596 0.035025 0.059130 0.300883 0.124584 0.185472
35 0.094924 0.214119 0.062807 0.046274 0.064664 0.287188 0.114251 0.178870
35 0.087021 0.229992 0.073924 0.036465 0.059991 0.289602 0.113191 0.173375
35 0.085571 0.228603 0.062968 0.049957 0.066471 0.288836 0.114452 0.179143
36 0.121728 0.237086 0.090436 0.195453 0.091525 0.387489 0.088828 0.104121
36 0.120726 0.240363 0.095181 0.186966 0.086204 0.385260 0.093396 0.108938
36 0.109398 0.237409 0.089440 0.194884 0.097441 0.377977 0.095273 0.110291
37 0.094954 0.250664 0.117071 0.144015 0.107527 0.341598 0.106434 0.145924
37 0.085046 0.244101 0.118063 0.148397 0.106300 0.344837 0.088820 0.146871
37 0.097655 0.228940 0.118855 0.152389 0.105819 0.330037 0.091388 0.151314
38 0.087657 0.157345 0.021370 0.217349 0.092643 0.329983 0.058977 0.067321
38 0.084054 0.159369 0.021188 0.217406 0.095303 0.327694 0.058475 0.078099
38 0.078857 0.156603 0.021701 0.222342 0.087203 0.336439 0.058500 0.074770
45 0.194693 0.201089 0.066133 0.116122 0.088043 0.212414 0.174155 0.188860
45 0.197604 0.196886 0.074170 0.119197 0.092325 0.204275 0.171720 0.188449
45 0.196966 0.209130 0.054689 0.109241 0.086278 0.208487 0.176588 0.175548
46 0.194615 0.042474 0.051275 0.086225 0.075133 0.233704 0.146786 0.138244
46 0.191526 0.050345 0.051023 0.095239 0.066831 0.223205 0.143032 0.140326
46 0.201399 0.047422 0.037561 0.087184 0.065020 0.234559 0.145136 0.142501
47 0.105605 0.114715 0.068719 0.072870 0.112388 0.251146 0.126991 0.183287
47 0.111033 0.099707 0.065896 0.078137 0.095849 0.254480 0.135361 0.174785
47 0.097947 0.103249 0.074472 0.067320 0.105591 0.250763 0.126784 0.187651
48 0.088714 0.068165 0.047748 0.083953 0.112085 0.168717 0.116732 0.165194
48 0.093194 0.069396 0.045260 0.087784 0.107124 0.163346 0.109379 0.153566
48 0.087208 0.057430 0.047884 0.090123 0.105716 0.161801 0.123888 0.146695
56 0.197305 0.045353 0.045865 0.088403 0.067280 0.229815 0.154865 0.146730
56 0.207158 0.056882 0.038812 0.092608 0.065801 0.234849 0.134876 0.122708
56 0.192719 0.047180 0.040998 0.090264 0.068123 0.231923 0.142058 0.136425
57 0.107122 0.116797 0.065002 0.081611 0.089037 0.241703 0.138530 0.185383
57 0.101309 0.109131 0.074354 0.074245 0.109989 0.255504 0.116913 0.185170
57 0.118518 0.111431 0.056267 0.082187 0.114107 0.249516 0.121272 0.180597
58 0.084816 0.054983 0.052367 0.083736 0.109664 0.161040 0.114742 0.157777
58 0.090810 0.062564 0.042402 0.091345 0.110232 0.154643 0.124803 0.146326
58 0.085232 0.054477 0.052657 0.075305 0.099346 0.161565 0.123689 0.145611
67 0.162182 0.088377 0.044378 0.187567 0.149031 0.167217 0.098386 0.101489
67 0.173313 0.106275 0.044221 0.188115 0.137022 0.164639 0.098423 0.100234
