cur_topo missing1 missing2 missing3 missing4 missing5 missing6 missing7
12 0.122987 0.120831 0.039878 0.097151 0.091331 0.158801 0.140349
12 0.117887 0.132917 0.053522 0.101573 0.091596 0.172890 0.149610
12 0.111628 0.114858 0.049209 0.089208 0.085118 0.171816 0.141379
13 0.075377 0.221995 0.116633 0.110751 0.057410 0.280325 0.098045
13 0.074958 0.223713 0.116287 0.107157 0.053916 0.288182 0.102190
13 0.066237 0.227003 0.114641 0.106845 0.050546 0.286905 0.109724
14 0.129736 0.112966 0.095049 0.124081 0.151650 0.115962 0.116193
14 0.126953 0.098929 0.074165 0.133366 0.143101 0.113778 0.131777
14 0.133339 0.102149 0.077456 0.121797 0.148018 0.112378 0.122740
15 0.133966 0.109326 0.072436 0.118355 0.141467 0.123857 0.132856
15 0.143215 0.097662 0.074455 0.128657 0.139263 0.115651 0.132457
15 0.134847 0.094826 0.072940 0.124136 0.139790 0.119840 0.131951
16 0.170035 0.194715 0.100650 0.160358 0.123119 0.160917 0.165280
16 0.179584 0.190004 0.109599 0.166065 0.120879 0.165384 0.154288
16 0.182628 0.191172 0.113436 0.169123 0.128611 0.162358 0.161508
17 0.173081 0.187135 0.111130 0.152369 0.130655 0.170152 0.161884
17 0.190480 0.177120 0.113000 0.165778 0.112016 0.164210 0.167142
17 0.169467 0.194009 0.116366 0.153841 0.113057 0.153765 0.176534
23 0.086408 0.159603 0.056338 0.086857 0.048204 0.313844 0.065325
23 0.083656 0.175269 0.065459 0.088968 0.054735 0.303232 0.057915
23 0.065554 0.163370 0.067061 0.097537 0.057108 0.310246 0.076340
24 0.142365 0.201041 0.076339 0.143579 0.081874 0.139626 0.166918
24 0.142510 0.196955 0.075657 0.149592 0.080579 0.136580 0.158713
24 0.135017 0.196236 0.072644 0.138853 0.082576 0.142089 0.165923
25 0.138399 0.182527 0.085979 0.151057 0.084260 0.140485 0.164101
25 0.152712 0.204326 0.085383 0.156124 0.087992 0.129592 0.157551
25 0.134318 0.197042 0.070126 0.160060 0.082160 0.139511 0.158982
26 0.237206 0.092102 0.125754 0.078845 0.266169 0.199416 0.204349
26 0.214111 0.099559 0.116360 0.087979 0.274529 0.209263 0.198747
26 0.230405 0.093619 0.111157 0.091112 0.269003 0.206572 0.186477
27 0.227934 0.099753 0.113891 0.081809 0.264750 0.201526 0.201957
27 0.232877 0.089098 0.123138 0.085529 0.262582 0.200760 0.194757
27 0.232553 0.095162 0.123286 0.091841 0.270362 0.204217 0.202336
34 0.080144 0.200791 0.056246 0.098176 0.063913 0.263587 0.078700
34 0.084862 0.208910 0.050492 0.099447 0.077602 0.257415 0.075890
34 0.077973 0.201826 0.058201 0.102982 0.064939 0.260214 0.082622
35 0.078506 0.198496 0.070340 0.102707 0.061365 0.263364 0.081852
35 0.072614 0.200315 0.073929 0.106013 0.058285 0.265242 0.085222
35 0.079255 0.199141 0.067565 0.107346 0.067340 0.269743 0.079546
36 0.075685 0.285789 0.092394 0.185435 0.066329 0.298069 0.087560
36 0.069266 0.281178 0.089703 0.184163 0.072711 0.294843 0.104717
36 0.052809 0.279887 0.096914 0.187747 0.075993 0.297111 0.087844
37 0.067716 0.283353 0.095455 0.189645 0.074007 0.299690 0.086128
37 0.072050 0.273685 0.090594 0.189753 0.079066 0.292046 0.098297
37 0.079566 0.278488 0.082221 0.194590 0.071645 0.290340 0.094435
45 0.124274 0.205427 0.058549 0.106311 0.110064 0.176664 0.087907
45 0.123222 0.201828 0.063372 0.124976 0.118534 0.167079 0.091972
45 0.120659 0.205449 0.057911 0.125313 0.109450 0.174585 0.092501
46 0.153195 0.063744 0.044047 0.101494 0.093005 0.232397 0.119483
46 0.164276 0.076565 0.038503 0.121786 0.102126 0.234936 0.126192
46 0.148534 0.080727 0.042242 0.115319 0.095050 0.231199 0.124691
47 0.149057 0.073678 0.048807 0.115203 0.081824 0.226273 0.126322
47 0.151935 0.069369 0.042851 0.113925 0.090734 0.225165 0.123633
47 0.150606 0.073119 0.046030 0.109401 0.098189 0.230174 0.127288
56 0.142868 0.069002 0.055082 0.097966 0.088187 0.226237 0.124375
56 0.147412 0.061123 0.046283 0.104233 0.085755 0.222606 0.131776
56 0.146630 0.069798 0.050758 0.100178 0.082100 0.222415 0.133096
57 0.147072 0.062267 0.053561 0.110152 0.086759 0.228205 0.123751
57 0.147400 0.074285 0.050764 0.112154 0.088869 0.225642 0.135703
57 0.148677 0.070293 0.046988 0.104503 0.094470 0.227421 0.126981
67 0.128346 0.213686 0.062805 0.120434 0.103921 0.162024 0.091210
67 0.141682 0.211968 0.049084 0.108148 0.095960 0.180900 0.092358
67 0.129273 0.216601 0.051070 0.113046 0.099156 0.184322 0.098760
