cur_topo missing1 missing2 missing3 missing4 missing5 missing6 missing7
12 0.200343 0.062250 0.066263 0.236801 0.208840 0.348208 0.183132
12 0.184756 0.064458 0.059397 0.250987 0.201633 0.346874 0.179952
12 0.183787 0.066066 0.065911 0.238003 0.199566 0.342399 0.178885
13 0.110223 0.195623 0.378653 0.424982 0.236689 0.336275 0.229042
13 0.115877 0.187877 0.374469 0.429109 0.237652 0.341759 0.221616
13 0.114588 0.200766 0.373365 0.428714 0.230911 0.333287 0.232223
14 0.303294 0.130514 0.076006 0.334753 0.410970 0.383451 0.224455
14 0.307862 0.127009 0.079112 0.338155 0.401799 0.385574 0.210746
14 0.302475 0.115830 0.078857 0.337806 0.400101 0.385015 0.207775
15 0.307895 0.122674 0.085789 0.342156 0.404169 0.384037 0.206386
15 0.297978 0.135953 0.077427 0.331124 0.403329 0.388206 0.206887
15 0.281151 0.136807 0.064530 0.327331 0.409809 0.396629 0.210693
16 0.376138 0.127216 0.319580 0.459477 0.419984 0.260148 0.246426
16 0.385948 0.131133 0.315182 0.465361 0.425375 0.250239 0.249563
16 0.375076 0.136285 0.322769 0.458201 0.420949 0.252686 0.245011
17 0.358005 0.134253 0.154597 0.521665 0.289535 0.432886 0.224520
17 0.358846 0.130942 0.147498 0.524247 0.285642 0.433164 0.232924
17 0.351800 0.127536 0.146919 0.533282 0.285890 0.434603 0.226954
23 0.110507 0.157910 0.225177 0.345435 0.195289 0.395067 0.066229
23 0.110396 0.156717 0.224730 0.348267 0.189461 0.406916 0.073526
23 0.111857 0.162753 0.218117 0.343436 0.182422 0.389150 0.065037
24 0.222757 0.195127 0.043955 0.455887 0.283599 0.449828 0.209348
24 0.213608 0.187798 0.056773 0.456959 0.273261 0.454902 0.204321
24 0.203261 0.195363 0.050417 0.447456 0.275585 0.457477 0.206830
25 0.203202 0.200965 0.052325 0.452302 0.284422 0.453150 0.215806
25 0.210471 0.199978 0.056152 0.450282 0.274573 0.453081 0.209734
25 0.204843 0.199496 0.059944 0.446522 0.283635 0.446655 0.215057
26 0.390778 0.089700 0.137370 0.430573 0.341496 0.514251 0.252737
26 0.384860 0.094979 0.131791 0.433204 0.348315 0.518688 0.248169
26 0.385204 0.101539 0.132381 0.440616 0.356607 0.514904 0.253488
27 0.443105 0.089370 0.071925 0.498710 0.485623 0.530011 0.324223
27 0.440271 0.102433 0.068294 0.499057 0.480789 0.533015 0.324693
27 0.430875 0.107095 0.073062 0.501286 0.489759 0.535000 0.324147
34 0.089849 0.169861 0.264151 0.288865 0.180502 0.353561 0.213025
34 0.095185 0.177952 0.259422 0.286925 0.179050 0.353163 0.207864
34 0.107165 0.182587 0.267590 0.280366 0.183472 0.363451 0.209161
35 0.098938 0.181017 0.262886 0.283539 0.185110 0.363818 0.201161
35 0.101237 0.185183 0.265491 0.281046 0.180013 0.361499 0.203778
35 0.096368 0.176751 0.259133 0.282654 0.180285 0.363324 0.208815
36 0.220287 0.216816 0.330037 0.303764 0.323874 0.534643 0.062678
36 0.222297 0.219336 0.327364 0.296277 0.320662 0.533927 0.073199
36 0.227073 0.223862 0.324691 0.293728 0.316089 0.522583 0.073531
37 0.220202 0.204040 0.358068 0.288982 0.313318 0.545705 0.117213
37 0.227066 0.191477 0.353436 0.290663 0.320941 0.528190 0.114646
37 0.214157 0.192541 0.363547 0.300425 0.322444 0.535501 0.119452
45 0.240853 0.193740 0.043105 0.255089 0.255141 0.293374 0.104800
45 0.236813 0.192732 0.036063 0.261933 0.261878 0.292648 0.105352
45 0.237272 0.182659 0.045515 0.259894 0.261998 0.298559 0.104226
46 0.381038 0.083447 0.166270 0.184617 0.323782 0.418403 0.139688
46 0.378319 0.077120 0.161892 0.185513 0.322084 0.417662 0.157635
46 0.377961 0.079027 0.170951 0.177439 0.312877 0.425340 0.140439
47 0.332378 0.049875 0.191649 0.135310 0.332206 0.500625 0.096058
47 0.345198 0.038877 0.206107 0.118915 0.333538 0.513604 0.081537
47 0.337748 0.042303 0.191247 0.135536 0.338826 0.505861 0.097789
56 0.386345 0.091215 0.171725 0.177971 0.325460 0.420995 0.162340
56 0.383485 0.087373 0.166663 0.171478 0.321103 0.429966 0.145632
56 0.383240 0.091011 0.171108 0.169508 0.322790 0.422092 0.152757
57 0.338711 0.039659 0.202074 0.134666 0.332146 0.515683 0.093303
57 0.334739 0.046635 0.195099 0.136496 0.335613 0.507847 0.097210
57 0.335891 0.045886 0.205874 0.135645 0.331045 0.507004 0.093794
67 0.280510 0.187545 0.052576 0.267711 0.268697 0.234229 0.197704
67 0.280705 0.183236 0.042887 0.263083 0.263058 0.232687 0.207838
67 0.287586 0.180050 0.054783 0.263218 0.265211 0.248127 0.210350
