cur_topo missing1 missing2 missing3 missing4 missing5 missing6 missing7 missing8
123 0.101779 0.178936 0.258782 0.204985 0.064999 0.438603 0.216910 0.144884
123 0.111620 0.178028 0.267554 0.205598 0.075896 0.438953 0.215797 0.147684
123 0.107672 0.172735 0.267291 0.201056 0.072089 0.439700 0.220193 0.139841
124 0.262814 0.172058 0.042308 0.144478 0.178348 0.279133 0.097052 0.078259
124 0.268911 0.182666 0.031954 0.149426 0.186903 0.279514 0.105780 0.071332
124 0.262205 0.179581 0.047747 0.149026 0.181495 0.275221 0.107815 0.083135
125 0.260038 0.173909 0.042044 0.154385 0.189001 0.281043 0.103511 0.082712
125 0.268023 0.183581 0.043315 0.139333 0.182923 0.270662 0.098916 0.068271
125 0.265165 0.178905 0.034983 0.141121 0.183157 0.274226 0.098438 0.067568
126 0.363994 0.081675 0.326191 0.198677 0.392073 0.227314 0.187273 0.006580
126 0.359020 0.078598 0.320326 0.201105 0.391902 0.228979 0.198881 0.015257
126 0.363472 0.077891 0.315811 0.201970 0.390452 0.231501 0.201336 0.016351
127 0.252474 0.073310 0.144832 0.146366 0.288019 0.298421 0.139063 0.012735
127 0.243644 0.078809 0.160103 0.145111 0.296909 0.292352 0.152409 0.010583
127 0.246512 0.066563 0.150235 0.139146 0.295593 0.288783 0.140549 0.017563
128 0.285404 0.225435 0.182124 0.251636 0.409517 0.010626 0.333115 0.346487
128 0.284574 0.234021 0.184858 0.243479 0.406550 0.009529 0.327087 0.340992
128 0.285562 0.236638 0.187067 0.256614 0.411492 0.010687 0.328064 0.348484
134 0.141156 0.150040 0.184174 0.307804 0.121264 0.445694 0.081394 0.124592
134 0.134504 0.139862 0.187708 0.318067 0.115959 0.455885 0.076883 0.130087
134 0.138154 0.143519 0.178627 0.308813 0.116735 0.450066 0.069275 0.122281
135 0.145918 0.142302 0.190446 0.321397 0.118284 0.444494 0.074097 0.130142
135 0.131038 0.151480 0.184655 0.317410 0.115758 0.449456 0.087606 0.130894
135 0.140714 0.139025 0.191516 0.312239 0.117583 0.446619 0.075149 0.125523
136 0.229630 0.297290 0.371424 0.590659 0.267275 0.542730 0.153377 0.009971
136 0.226454 0.302982 0.369372 0.585993 0.269908 0.537184 0.146472 0.008816
136 0.222232 0.303800 0.368325 0.584730 0.263885 0.537378 0.143402 0.009335
137 0.237177 0.300762 0.343321 0.599628 0.355747 0.502426 0.136274 0.015389
137 0.239322 0.298660 0.344656 0.599014 0.362174 0.493569 0.148065 0.009229
137 0.238497 0.294362 0.334908 0.603484 0.354929 0.499715 0.145581 0.015506
138 0.083180 0.309130 0.404067 0.554013 0.269586 0.013283 0.308709 0.338389
138 0.083534 0.312547 0.401286 0.554925 0.273234 0.007230 0.305746 0.339670
138 0.095734 0.309072 0.407843 0.552011 0.264732 0.018469 0.317930 0.330309
145 0.213111 0.215903 0.047295 0.468331 0.242033 0.330623 0.211402 0.057657
145 0.202310 0.206500 0.044712 0.465681 0.241061 0.326691 0.202177 0.060191
145 0.209106 0.208090 0.042618 0.473058 0.250065 0.342188 0.204639 0.054933
146 0.422067 0.089204 0.114944 0.453652 0.337068 0.284446 0.239864 0.056328
146 0.422017 0.072251 0.122249 0.452059 0.333078 0.287425 0.241749 0.061695
146 0.421604 0.088890 0.116381 0.452568 0.338479 0.292424 0.238664 0.058047
147 0.435423 0.105464 0.128452 0.449415 0.330764 0.325340 0.327022 0.039998
