cur_topo missing1 missing2 missing3 missing4 missing5 missing6 missing7 missing8 missing9 missing10
123 0.108512 0.095166 0.232339 0.210176 0.118593 0.159884 0.327000 0.261454 0.255574 0.204984
123 0.116468 0.090011 0.225946 0.215574 0.129227 0.155947 0.331856 0.263064 0.255029 0.194226
123 0.110445 0.096050 0.215506 0.217287 0.119707 0.166256 0.332525 0.266357 0.258415 0.194136
124 0.247347 0.155196 0.051334 0.220884 0.178107 0.192953 0.309771 0.177742 0.290099 0.147126
124 0.241328 0.157554 0.057571 0.220786 0.173525 0.192876 0.316157 0.174246 0.288395 0.137615
124 0.248369 0.153609 0.062831 0.219083 0.165715 0.183682 0.306550 0.171240 0.295270 0.150887
125 0.248020 0.160020 0.055984 0.225961 0.175342 0.198524 0.315999 0.176608 0.289393 0.147569
125 0.244153 0.149010 0.052852 0.226345 0.170784 0.195872 0.319973 0.173746 0.289617 0.144786
125 0.243254 0.157899 0.056993 0.216270 0.171537 0.195457 0.310966 0.167607 0.302435 0.164809
126 0.172356 0.135016 0.070094 0.264134 0.263280 0.147377 0.244971 0.203754 0.139914 0.150277
126 0.162978 0.130090 0.078127 0.264186 0.257955 0.147334 0.244998 0.199509 0.140947 0.141553
126 0.172128 0.126749 0.067983 0.262397 0.265681 0.143199 0.245952 0.198874 0.151336 0.158021
127 0.188003 0.133896 0.094158 0.191204 0.208685 0.139670 0.489922 0.200345 0.176876 0.376456
127 0.184381 0.124639 0.096580 0.189569 0.212136 0.135717 0.487201 0.197126 0.175034 0.373171
127 0.187870 0.128043 0.104348 0.188781 0.212191 0.135961 0.480690 0.195387 0.178760 0.377402
128 0.267248 0.167964 0.082350 0.193219 0.351775 0.098394 0.564294 0.182496 0.177365 0.400492
128 0.264384 0.174849 0.080357 0.198665 0.348328 0.102858 0.572116 0.191395 0.171470 0.407583
128 0.258250 0.169412 0.075442 0.191004 0.353657 0.110311 0.576267 0.188451 0.176984 0.408830
129 0.217707 0.128026 0.086536 0.206712 0.252157 0.153310 0.254704 0.316405 0.148663 0.150327
129 0.211857 0.129615 0.083352 0.212354 0.254069 0.153364 0.248716 0.331190 0.154660 0.145173
129 0.214974 0.121793 0.085829 0.215703 0.256497 0.152360 0.252989 0.323505 0.151018 0.160433
1210 0.257937 0.141783 0.109484 0.230687 0.252322 0.143195 0.255828 0.189786 0.188259 0.118762
1210 0.271844 0.164427 0.118652 0.242544 0.248839 0.135799 0.263137 0.182513 0.192550 0.121918
1210 0.255183 0.152802 0.122109 0.230660 0.257485 0.141697 0.256718 0.191954 0.189093 0.123438
134 0.196027 0.249350 0.250796 0.208246 0.271180 0.201236 0.303802 0.256267 0.248160 0.219624
134 0.190175 0.258276 0.246958 0.220617 0.276583 0.189628 0.301734 0.261169 0.226855 0.218851
134 0.201353 0.238077 0.244459 0.225151 0.273571 0.186767 0.294972 0.263661 0.238519 0.221745
135 0.192229 0.244558 0.248030 0.215900 0.274380 0.202953 0.299491 0.253276 0.250210 0.223304
135 0.188642 0.248230 0.243088 0.218090 0.272123 0.197455 0.305045 0.254230 0.245652 0.226780
135 0.181230 0.250859 0.243338 0.221425 0.271920 0.190960 0.307766 0.255097 0.245711 0.224508
136 0.098023 0.227425 0.243636 0.234562 0.257551 0.201085 0.332638 0.207336 0.245301 0.191597
136 0.096025 0.215458 0.247634 0.230244 0.247272 0.204480 0.341139 0.209506 0.253019 0.196699
136 0.088872 0.216413 0.237514 0.227515 0.260126 0.204411 0.332026 0.214560 0.244072 0.185016
137 0.063264 0.253712 0.289915 0.203110 0.134084 0.240890 0.514856 0.106741 0.243389 0.441520
137 0.067462 0.250806 0.283023 0.208780 0.141078 0.240430 0.512926 0.114657 0.239024 0.446198
137 0.072986 0.257719 0.288778 0.194140 0.129794 0.237165 0.510223 0.115792 0.238011 0.439565
138 0.085546 0.343078 0.173462 0.295064 0.125140 0.345329 0.532411 0.168957 0.116060 0.481492
138 0.093240 0.346618 0.181740 0.290718 0.120962 0.351931 0.533247 0.174439 0.103499 0.488441
138 0.085155 0.341786 0.180781 0.290798 0.131242 0.350558 0.529167 0.173181 0.112918 0.484656
139 0.090710 0.339264 0.218687 0.267709 0.325229 0.272213 0.288616 0.435430 0.284426 0.272915
139 0.087542 0.342361 0.222202 0.262566 0.336031 0.281563 0.297711 0.433030 0.273883 0.269757
139 0.088115 0.347369 0.227379 0.269069 0.333961 0.279423 0.295602 0.427963 0.277889 0.287920
1310 0.164017 0.335448 0.184560 0.331180 0.174551 0.350491 0.356418 0.408558 0.146948 0.263282
1310 0.166346 0.332428 0.182021 0.322410 0.179127 0.350070 0.359341 0.396743 0.143691 0.270973
1310 0.158422 0.335430 0.185025 0.321958 0.176803 0.357718 0.350183 0.399651 0.139019 0.262869
145 0.177680 0.278271 0.140063 0.310257 0.270745 0.284342 0.242149 0.280092 0.247020 0.140956
145 0.183115 0.279354 0.145653 0.304561 0.270428 0.289045 0.229381 0.284998 0.244807 0.162433
145 0.175098 0.285442 0.138007 0.307006 0.273903 0.282473 0.230032 0.286477 0.248265 0.147724
146 0.205884 0.184178 0.072641 0.220933 0.292561 0.167616 0.295573 0.178535 0.285184 0.139689
