cur_topo missing1 missing2 missing3 missing4 missing5 missing6 missing7 missing8 missing9
12 0.204426 0.079382 0.056284 0.041535 0.240565 0.310819 0.214072 0.131636 0.088788
12 0.199882 0.094424 0.040081 0.044023 0.236192 0.300204 0.209116 0.119926 0.093300
12 0.196827 0.103444 0.045041 0.036925 0.234026 0.306402 0.205352 0.130438 0.098540
13 0.070410 0.209187 0.310841 0.200292 0.145395 0.399607 0.269125 0.099643 0.170376
13 0.068160 0.198500 0.314015 0.203914 0.153272 0.402734 0.268736 0.099988 0.191657
13 0.058075 0.217471 0.314881 0.190479 0.150271 0.409934 0.271894 0.095481 0.164181
14 0.250432 0.143028 0.031736 0.161025 0.299209 0.268642 0.197365 0.034795 0.082425
14 0.249717 0.145728 0.031860 0.161369 0.304760 0.277957 0.209524 0.045101 0.083171
14 0.245133 0.152577 0.032789 0.164342 0.310178 0.280070 0.207032 0.029174 0.095391
15 0.251059 0.146723 0.035580 0.163640 0.297477 0.272158 0.202693 0.043667 0.081570
15 0.249725 0.149905 0.031641 0.160221 0.309153 0.274572 0.203426 0.046224 0.075194
15 0.241052 0.154467 0.041119 0.168186 0.302184 0.277491 0.201439 0.040494 0.084254
16 0.283066 0.384936 0.466848 0.478760 0.333847 0.269678 0.370808 0.267872 0.333599
16 0.283221 0.389802 0.464577 0.477806 0.341684 0.270963 0.374046 0.259523 0.326637
16 0.288931 0.375568 0.471799 0.475929 0.342045 0.267703 0.368424 0.257396 0.338377
17 0.141487 0.209929 0.277469 0.197401 0.222679 0.138963 0.092097 0.078249 0.258640
17 0.133064 0.208103 0.278079 0.190942 0.224483 0.139557 0.095506 0.087431 0.260513
17 0.142086 0.205091 0.267640 0.198360 0.233671 0.156173 0.086168 0.081813 0.258702
18 0.207581 0.330562 0.018794 0.356776 0.417402 0.014430 0.328449 0.354216 0.388395
18 0.211873 0.322066 0.021840 0.345171 0.433043 0.010295 0.332039 0.361771 0.402485
18 0.212280 0.325969 0.016517 0.355046 0.429167 0.014100 0.325144 0.363681 0.392698
19 0.277044 0.511254 0.015433 0.136812 0.463433 0.451489 0.517570 0.087867 0.511702
19 0.285401 0.511103 0.011979 0.136047 0.459784 0.458083 0.517873 0.087306 0.509994
19 0.289762 0.525074 0.013694 0.136731 0.468911 0.458830 0.518724 0.088713 0.516130
23 0.085290 0.291954 0.296664 0.181745 0.165681 0.452671 0.189321 0.019298 0.305374
23 0.088249 0.301737 0.299181 0.176714 0.163377 0.454217 0.182783 0.006759 0.309727
23 0.084159 0.300898 0.300733 0.179638 0.172769 0.458263 0.182612 0.006511 0.307427
24 0.300848 0.508594 0.015720 0.138488 0.530693 0.531757 0.517269 0.142122 0.514774
24 0.294893 0.513219 0.005318 0.142009 0.527567 0.538087 0.517771 0.136959 0.508856
24 0.294847 0.516150 0.016351 0.140193 0.530960 0.533587 0.521337 0.138926 0.518760
25 0.297934 0.521095 0.013438 0.137862 0.534622 0.537172 0.524069 0.140828 0.514576
25 0.288711 0.509284 0.007036 0.139432 0.524636 0.528098 0.513486 0.139926 0.509525
25 0.302237 0.516461 0.009323 0.140035 0.535889 0.543758 0.528163 0.134405 0.518882
26 0.141156 0.369689 0.571549 0.311268 0.370654 0.144247 0.231004 0.146393 0.326411
26 0.141185 0.370702 0.564916 0.319745 0.369973 0.142007 0.228948 0.156126 0.324011
26 0.135158 0.361520 0.563502 0.312289 0.375041 0.145363 0.223814 0.154890 0.333239
27 0.277782 0.482652 0.188442 0.131587 0.316244 0.179712 0.274981 0.146544 0.442343
27 0.282804 0.491355 0.192898 0.137350 0.318538 0.192210 0.272600 0.149609 0.444965
27 0.276144 0.487800 0.198153 0.132127 0.324070 0.183698 0.269848 0.150559 0.444058
28 0.207086 0.311753 0.010795 0.463066 0.333603 0.011616 0.453235 0.324462 0.466624
28 0.210048 0.305565 0.014466 0.459491 0.330996 0.010461 0.458213 0.330597 0.466972
28 0.206082 0.312681 0.008040 0.464944 0.332961 0.016096 0.460066 0.322105 0.456623
29 0.198704 0.155300 0.037756 0.204277 0.358996 0.276243 0.236934 0.044297 0.076863
29 0.192587 0.158459 0.032400 0.207823 0.358931 0.266390 0.236598 0.054969 0.072197
29 0.191117 0.164047 0.037136 0.197675 0.359974 0.273389 0.235333 0.045041 0.081974
34 0.116163 0.112493 0.420807 0.118719 0.097692 0.512149 0.428674 0.015435 0.274358
34 0.127006 0.107571 0.417018 0.113716 0.096628 0.512874 0.426336 0.010344 0.275197
34 0.120123 0.119227 0.417747 0.111983 0.094296 0.504854 0.424267 0.008271 0.285077
35 0.120448 0.101983 0.419208 0.127357 0.097632 0.515618 0.438943 0.021392 0.292650
35 0.123004 0.116530 0.419064 0.114478 0.092757 0.503674 0.424874 0.011130 0.281813
35 0.118802 0.116911 0.412178 0.115401 0.102487 0.508093 0.416507 0.017618 0.272133
36 0.013375 0.350020 0.361401 0.260660 0.186646 0.461329 0.113120 0.185416 0.300176
36 0.015375 0.356294 0.366922 0.255565 0.195826 0.461499 0.115767 0.179302 0.298653
