cur_topo missing1 missing2 missing3 missing4 missing5 missing6 missing7 missing8
12 0.148743 0.086727 0.047615 0.198157 0.139108 0.239285 0.165836 0.120310
12 0.149920 0.093371 0.048048 0.199372 0.146915 0.248085 0.161425 0.113108
12 0.151887 0.092893 0.048397 0.190366 0.135268 0.235612 0.174602 0.118298
13 0.066794 0.227069 0.262810 0.311898 0.183694 0.370700 0.215493 0.208959
13 0.057887 0.226830 0.261146 0.310725 0.194015 0.373769 0.214011 0.208222
13 0.072816 0.231718 0.268217 0.309765 0.194584 0.382225 0.219104 0.208012
14 0.244582 0.172910 0.044225 0.162137 0.307774 0.335858 0.205834 0.085642
14 0.237771 0.174174 0.053397 0.159625 0.300686 0.344301 0.201054 0.103171
14 0.245820 0.178411 0.038527 0.160765 0.313298 0.338423 0.209180 0.082368
15 0.250185 0.167884 0.043116 0.154946 0.298164 0.340982 0.202123 0.088284
15 0.242913 0.176754 0.046792 0.163620 0.313125 0.336956 0.201569 0.088054
15 0.256281 0.162044 0.039996 0.156405 0.310744 0.327433 0.209379 0.086925
16 0.267258 0.372523 0.431296 0.442958 0.344629 0.476607 0.305719 0.339403
16 0.269344 0.372038 0.428363 0.452786 0.347325 0.475923 0.306657 0.324559
16 0.277399 0.371273 0.428708 0.450318 0.347141 0.481913 0.300539 0.332558
17 0.145369 0.229648 0.261690 0.229773 0.219438 0.499743 0.107514 0.293478
17 0.146508 0.227293 0.265383 0.226948 0.216103 0.502959 0.126985 0.293010
17 0.138464 0.222731 0.257129 0.232815 0.211283 0.495478 0.109419 0.294477
18 0.288603 0.497162 0.006811 0.194242 0.545577 0.387213 0.438261 0.527103
18 0.285318 0.490425 0.015012 0.208009 0.527086 0.390457 0.428677 0.521848
18 0.293387 0.496732 0.009015 0.196915 0.547089 0.386456 0.438631 0.523408
23 0.158116 0.305416 0.312214 0.199211 0.141432 0.370303 0.196258 0.354069
23 0.154253 0.301005 0.307216 0.195170 0.144327 0.367533 0.197219 0.353456
23 0.155724 0.309338 0.290126 0.205721 0.130594 0.359826 0.191428 0.357224
24 0.323106 0.543135 0.008772 0.070741 0.587255 0.422149 0.508615 0.567392
24 0.324919 0.552043 0.012502 0.074456 0.593761 0.424664 0.509185 0.576251
24 0.312088 0.540224 0.010507 0.078320 0.580266 0.419726 0.503070 0.572105
25 0.321370 0.533237 0.011348 0.079504 0.584681 0.420517 0.503549 0.563529
25 0.308955 0.543884 0.015244 0.079108 0.585800 0.419447 0.499964 0.566056
25 0.319140 0.547718 0.010676 0.069136 0.585070 0.417325 0.505481 0.564499
26 0.191704 0.394788 0.543803 0.290838 0.401303 0.478119 0.278830 0.380984
26 0.193050 0.407788 0.542356 0.284757 0.400604 0.491289 0.280831 0.381956
26 0.195525 0.397887 0.541355 0.295490 0.398554 0.483072 0.284808 0.384902
27 0.370557 0.473299 0.214830 0.154156 0.291439 0.613502 0.268250 0.459185
27 0.361921 0.463967 0.213338 0.173221 0.293566 0.611253 0.270439 0.453945
27 0.365380 0.463343 0.209446 0.155962 0.289339 0.608703 0.264360 0.460795
28 0.192288 0.161550 0.043853 0.215992 0.355198 0.310870 0.230598 0.080311
28 0.186286 0.161944 0.038388 0.207293 0.356943 0.312854 0.235353 0.070598
28 0.187584 0.157630 0.043384 0.205971 0.353183 0.321674 0.228090 0.074776
34 0.121420 0.219420 0.404358 0.117043 0.101951 0.433898 0.427471 0.304323
34 0.121845 0.226727 0.401869 0.111116 0.092783 0.434686 0.426034 0.311359
34 0.121075 0.218584 0.404887 0.109098 0.102264 0.429516 0.430738 0.301245
35 0.112145 0.223149 0.395094 0.112950 0.097191 0.425851 0.426659 0.304799
35 0.117156 0.220528 0.399276 0.113634 0.098226 0.433546 0.430102 0.302994
35 0.128030 0.234938 0.395258 0.105628 0.093561 0.427278 0.417921 0.299814
36 0.016816 0.333676 0.293779 0.222070 0.139695 0.515590 0.074983 0.297753
36 0.014325 0.340048 0.299748 0.213190 0.153988 0.518366 0.077069 0.302408
36 0.015094 0.333481 0.292976 0.214642 0.144946 0.515008 0.064332 0.298972
37 0.206343 0.197214 0.428940 0.307446 0.419611 0.523356 0.117787 0.183273
37 0.214048 0.198153 0.431681 0.304953 0.416479 0.531331 0.112954 0.175379
37 0.207947 0.213078 0.421200 0.299116 0.408633 0.525518 0.110037 0.163883
38 0.110251 0.304148 0.234805 0.242667 0.140518 0.392269 0.073885 0.220418
38 0.100642 0.292265 0.232737 0.243214 0.144411 0.387954 0.073930 0.219608
38 0.112174 0.304814 0.237737 0.243483 0.146464 0.394899 0.083943 0.218037
45 0.160613 0.154408 0.065820 0.274636 0.393865 0.308444 0.271152 0.221983
45 0.166493 0.156982 0.063154 0.273559 0.393798 0.301112 0.269702 0.228338
45 0.162321 0.148066 0.067462 0.267968 0.388117 0.299611 0.272700 0.217590
46 0.292456 0.111514 0.200411 0.203952 0.166787 0.318747 0.135287 0.100087
46 0.297550 0.107358 0.201942 0.193913 0.170790 0.318798 0.141459 0.100247
46 0.299057 0.109009 0.193724 0.210654 0.177174 0.321092 0.129300 0.093416
47 0.300634 0.135258 0.160087 0.110889 0.322788 0.515045 0.010908 0.120281
47 0.298421 0.126891 0.153736 0.115058 0.338995 0.519178 0.020245 0.107696
47 0.310790 0.143428 0.151693 0.121771 0.333973 0.519683 0.021007 0.112455
48 0.150092 0.106389 0.040421 0.176065 0.122421 0.242787 0.148525 0.116669
48 0.148048 0.099180 0.038522 0.182523 0.129341 0.241757 0.151182 0.108655
48 0.140108 0.111010 0.042516 0.176873 0.119816 0.250910 0.145520 0.111410
56 0.287743 0.130363 0.198631 0.217153 0.172970 0.330514 0.133964 0.104061
56 0.287600 0.122556 0.211778 0.201677 0.166184 0.333678 0.131593 0.112406
56 0.282749 0.124233 0.206123 0.202166 0.176353 0.332084 0.134910 0.103658
57 0.307665 0.136021 0.151149 0.116744 0.329303 0.517822 0.005669 0.110648
57 0.299996 0.137014 0.156318 0.126053 0.327082 0.516053 0.009902 0.113936
57 0.304217 0.138438 0.155852 0.115671 0.334069 0.522190 0.013139 0.117120
58 0.153251 0.109542 0.041148 0.163823 0.139141 0.245274 0.149920 0.110395
58 0.141968 0.110665 0.034248 0.177293 0.124382 0.243970 0.135249 0.117652
58 0.146989 0.106306 0.044726 0.179489 0.121064 0.247465 0.141500 0.115883
67 0.219592 0.206392 0.102206 0.225721 0.192377 0.337226 0.156925 0.182236
67 0.215709 0.203317 0.106517 0.231245 0.183938 0.349901 0.148930 0.184558
67 0.208143 0.203117 0.108951 0.231402 0.184049 0.348062 0.142990 0.190540
68 0.292332 0.516876 0.371221 0.352039 0.331728 0.603396 0.292058 0.494170
68 0.297679 0.529731 0.375113 0.352725 0.335629 0.607728 0.288452 0.493744
68 0.292674 0.533023 0.373878 0.348271 0.329466 0.607241 0.284761 0.492246
78 0.211962 0.365498 0.217184 0.112223 0.357903 0.437862 0.267058 0.353118
78 0.225931 0.371266 0.215443 0.107657 0.378579 0.447317 0.277028 0.360798
78 0.218937 0.373095 0.213619 0.121550 0.365851 0.446492 0.271138 0.353801
